,URL
0,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0na8Azzzzzzzzzzzzzzzzzzzzzzzzz&datanum=11816962&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
1,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0na71zzzzzzzzzzzzzzzzzzzzzzzzz&datanum=11816891&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
2,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0nYQ0zzzzzzzzzzzzzzzzzzzzzzzzz&datanum=11810380&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
3,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0nHnNzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=11746481&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
4,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0mxz0zzzzzzzzzzzzzzzzzzzzzzzzz&datanum=11670322&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
5,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0lxIuzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=11429384&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
6,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0luCJzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=11417443&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
7,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0l3uhzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=11216463&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
8,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0kdJizzzzzzzzzzzzzzzzzzzzzzzzz&datanum=11114226&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
9,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0kO5kzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=11055700&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
