,Keyword,Date,Title,Contents,Words,Comments,Source
0,땀냄새,2019.08.03. 08:14,남자 땀냄새..저만 역한가요ㅜㅜ,"
임신중이고, 워킹맘이라 전철타고 출근하는데아침에 옆에 앉은 사람이나 근처에 있는 남자분들..주로 중년아저씨들..ㅜㅜ 그 특유의 남자냄새+쩔은냄새+땀냄새때문에 힘들어요..ㅜㅜ 아침엔 자리나면 겨우 앉아서 가는데앉은자리 옆에서 그런 냄새 맡으면..자리 피하고 싶은데..요새 다리가 부어서 꾸역꾸역 참고 갑니다..ㅠㅠ워낙에 후각이 예민하기도했는데.. 임신해서 더 예민해진건지ㅠㅠ 마스크라도 끼고 다녀야 할까봐요..
","'임신', '워킹맘', '전철', '타고', '출근', '아침', '옆', '사람', '근처', '남자', '주로', '중년', '아저씨', '그', '특유', '남자', '냄새', '냄새', '땀', '냄새', '때문', '아침', '겨우', '앉은자리', '옆', '냄새', '자리', '피하', '요새', '다리', '부어', '참고', '워낙', '후각', '임신', '더', '마스크', '끼', '요'","'저는아파트엘베탓는데 어떤젊은여자 땀내맡고기절하는줄알앗어요ㅡㅡ왜안씻고쩔어다니는지', '저는 아이들 땀냄새도 토할것 같더라구요. 그냥 사람체취는 다 역해요. 아가씨들 화장품냄새, 향수냄새도 토할것 같고 나이드신분들 냄새도 토할 것 같고 그냥 사람냄새가 싫어요', '저도그래여ㅡㅡ', '안 그런 남자도 많던데 유난히 땀냄새가 심한 사람이 있더라고요. 잘 안 씻어서 그런건지, 여름이라 잘 안 말린 옷을 입고 다녀서 그런건지..'",네이버 카페
1,땀냄새,2019.08.03. 00:32,안방에서 시큼한 냄새가나요,"
지금 자러 들어왔는데 시큼한 냄새가 나네요;;살짝 식초냄새? 이거 뭘까요 아침에 환기도 시켯었는데..아 어제 하고 오늘은 안했구나..지난밤 자고인난 땀냄새일까요? 아침에나갔다가 안쓴방인데ㅠㅠ아님 습한냄새일까요?? ㅠㅠ60일 안된 아기랑 둘이 자는 방이거든요..
","'지금', '냄새', '살짝', '식초', '냄새', '거', '뭘', '아침', '환기', '켯었', '어제', '오늘', '밤', '자고', '땀', '냄새', '요', '아침', '방', '냄새', '요', '아기', '둘', '방이'","'땀냄새일 가능성이 큰거 같아요~', '글켓죠? ㅠㅠ 60일 아들래미가 남자애라 그런지 정수리 냄새맡으면 사춘기 남자땀냄새가 확나거든여.... 얘때문인가봐여ㅡㅡㅋㅋ', '아구구 ㅋㅋㅋ귀여워라 아기여도 남자긴 남자네요 ㅎㅎ', '삭제된 댓글입니다.', '네 ㅠㅠ 아들래미 땀냄새같아요 ㅠㅠ', '땀냄새같아요', '아들래미 땀냄새 인득요ㅠㅠ', '혹시 폴더매트 깔아놓으셨음 그 냄새일거에요', '아 폴더매트는 없어용 ㅋㅋ', '에어컨은요? 에어컨냄새아닌가요', '에어컨 5월쯤에 업체 불러서 청소 다 했었어요ㅠㅠ', '에어컨 청소 얼마전데 했는디 그래도 식초냄새나요 저희... ㅜㅜ 아가 방에 없는동안 제습기능만 틀로 냄새 좀 빼면 나아요 ㅠㅠ', '아진짜요?? 어서나는걸까요 아가냄새같으세요??', '저희는 에어컨 냄새였어요ㅠㅠ 안방 에어컨 안트니 냄새가 안나더라구요.. 청소했는데도 냄새때문에 힘들어요 ㅠㅠ흑'",네이버 카페
2,땀냄새,2019.08.01. 20:27,머리숱많은아가 워시 뭐가 좋을까요??,"
머리감겨도 금방 땀이ㅠㅠ 땀냄새가 ㅎㅎ 나네요퓨토랑 아토팜 써봣어요! 다른 제품 츄천해주세요~^^
","'머리', '감겨', '금방', '땀', '땀', '냄새', '퓨토', '아토', '써봣어', '다른', '제품', '츄'","'몽디에스 괜찮은거같아요 잘헹궈지고 향도 좋고 순하고용', '저 베비루미쓰는데 괜찮아요 ㅋㅋ 거품도 많이 나구요', '베비니아요~ 거품 잘나고 향이 상큼한향이라 좋아요~약산성으로 된거 쓰세요', '전 여름이라 도담비써요~ 성분도 괜찮고 덜건조해서 머리도 덜 긁구 냄새안나요 ㅋ', '에스네이처 블랑쉬워시요 성분도 착하고 세정력도 좋아요! 씻기고 나서 보습 촉촉하게 유지돼서 이걸루 잘 쓰고 있어요ㅎ'",네이버 카페
3,땀냄새,2019.08.01. 20:03,여름이 제일 싫어요ㅠㅠ,"
작년은 더더웠지만 올해도 덥네요ㅠ 여름이 제일 싫어요 덥고 땀냄새나고 겨터파크 개장이요~ㅠㅠ아기 낳고 땀이 많아지고 더 더위타는거 같아요ㅠ★ 잠깐! 게시글 작성 전, 필독 공지! ★- 카페규정 : http://cafe.naver.com/imsanbu/28123090 - 게시판별 운영 정책 : http://cafe.naver.com/imsanbu/35756864
","'작년', '더', '올해', '여름', '제일', '땀', '냄새', '겨터', '파크', '개장', '아기', '땀', '더', '더위', '잠깐', '게시', '글', '작성', '전', '필독', '공지', '카페', '규정', '게시', '판별', '운영', '정책'",,네이버 카페
4,땀냄새,2019.08.01. 13:29,생후60일 애기한테 꼬릿꼬릿한 냄새가 나요 ㅠㅜㅜ로션추천좀해주세요,"
   모든 아가는 베이베파우더 향..아가향이 날줄알았는데내새끼는 안그러네요^^;;;아들놈인데 어제 씻겨도 땀냄새가 아주 ....아저씨냄새가 나요..ㅠㅠㅠㅠㅠㅠㅠㅠㅠ손이랑 발에도 꼬릿꼬릿... 목도 꼬릿꼬릿한 냄새 ㅠㅠ베이비파우더향, 아기 분 향 나는 로션좀 추천히주세요 ㅜㅜ생후60일 아가가 쓸수있는걸로요 ㅠㅠㅠ            ★ 잠깐! 게시글 작성 전, 필독 공지! ★- 카페규정 : http://cafe.naver.com/imsanbu/28123090 - 게시판별 운영 정책 : http://cafe.naver.com/imsanbu/35756864    
","'아가', '베이', '베', '파우더', '향', '아가', '향', '날줄', '새끼', '아들', '놈', '어제', '땀', '냄새', '아주', '아저씨', '냄새', '손', '발', '꼬릿꼬릿', '목도', '꼬릿꼬릿', '냄새', '베이비', '파우더', '향', '아기', '분', '향', '나', '로션', '좀', '추', '생후', '아가', '로', '잠깐', '게시', '글', '작성', '전', '필독', '공지', '카페', '규정', '게시', '판별', '운영', '정책'","'매일 씻겨야 되더라구요 ㅋㅋ특히 주름진곳 사이사이 잘 씻겨야지 안그럼 더 냄새나요 ㅜ', '으흐흑 매닐매일 씻기고 주름진곳은 두번씩 바디워시로 씻겨도 냄새나유 ㅠㅠㅜㅜ', '전 로션 발라도 잠깐이던데요 ㅎㅎ ;; 가제수건 물로 계속 닦여줬어요', '땀 침 흘리고 안씻으면 완전 아저씨냄새 저리가라죠ㅋㅋ저는 쭉 로하스베베 쓰고있어서(향 꼬리꼬리함) 저도 향좋은로션 크림 알고싶네요ㅋㅋ', '저희애도 특히 손바닥에서 나더라구요ㅋㅋ 전 자주 맡아요 ㅋㅋㅋ구수한 냄새 ㅋㅋ', '우리 아기만 그런줄 알았어요 🤪', '원래그래요 ㅋㅋㅋ 그나마 손피니까 이젠 발냄새만나네요', 'ㅋㅋ 저희집 아기도구래요.. 주름 사이사이에 로션이 끼면 그게 땀 침 등등 섞이면서 꼬리해지도라고요 다리나 팔 이런데는 그래도 덜 한데 목에서 ... 많이 나더라고요 ㅎ;;', '쁘리마쥬 크림이 애기냄새 나는데 그 때 뿐이에요 우리가 생각하는 아기냄새는 섬유유연제 냄새였드라구요ㅎㅎ 아기몸에선 향기안난다는', '화해어플 참고해서 순한걸로발라주는데 에스네이처 블랑쉬로션 효과 좋아요~~', '아저씨 쉰내 장난없어욬ㅋㅋㅋㅋ 쁘리마쥬 씁니다 잠깐이지만 ㅋㅋ', 'ㅋㅋㅋㅋ 저희애도 목에서 치즈냄새나요.치즈상한냄새ㅋㅋ매일씻기고 해도나요', '주름사이사이 잘 씻고 잘 말려주는게 중요해요~ 전 베베가닉쓰고 있는데 수분감 좋고 흡수가 빨라서 끈적임없어서 좋아요'",네이버 카페
5,땀냄새,2019.07.31. 02:12,(한부모방)극한직업-엄마,"
오랫만에 들어와 글 쓰게되어 너무좋아요비록 상황은 그닥 좋지않지만요우선 아기 출산하고 조리원에서 약 3주정도 있었는데 조리원은 천국이라지만 별난저는 애를 데리고 방에 와서도 있고 기저귀도 갈아주고 새벽같이 일어나 모유수유 콜 하루종일 받고 안나오는 모유를 새벽에 한방울까지 모아모아 짜며 모유양을 늘려보려하였으나 27일차 엄마는 혼합수유중이네요엊그제 조리원 졸업하고 집에 돌아와 좀비가 되었어요독박육아하시는 분들도 많지만 친정엄마 가족 친척 친구 그 누구의 도움도 없이 집에서 육아는 정말 지옥입니다애를 안고 어깨죽지가 찢어져 나갈것같은데도 손 바들바들 떨며 분유를타고 분유물을 식히는동안 애가 울고불고 난리를쳐서 분유 하나를 더 탔는데 물온도 잘못 맞춰 여전히 뜨거워 애는 더 악을 쓰고울고 샤워는 못해서 땀냄새에 머리는 묶어도 귀신산발 밥은 미역국에 말아 마시고 기저귀갈고 수유하고 트림시키고 몇개없는 젖병 씻느라 정말 눈코뜰새없이 바쁘더군요하루에 기저귀 20장넘게 교체를했던데우리딸이 예민하고 전 초보맘이라 바로바로 갈아주고 엄마맘이야 다 같겠지만 발진날까 노심초사 기저귀 갈면서 불어주다 얼굴에 벌써 오줌샤워를 하시고잠잘때 꼭 안으라는 딸 등센서 달으셔서 내려놓으면 눈 똥그랗게 뜨고 빨리 다시 안으라 사인보내고 ㅠㅠ혼자서 애 키우신분들 다 저처럼 키우셨겠죠? 애 키우기 힘들다고 아는언니 동생 붙잡고 징징징 하소연했네요좀전에 모유와 분유 먹고 곯아 떨어진 딸 뒤로하고 유축 후 카페가족께도 징징징 하고자 올려봅니다자주 오고싶었는데 맘처럼 글하나 읽기도 쉽지않네요아무리 힘들고 고된 육아라도 달리기 가사처럼 틀림없이 끝이있겠죠? 계속 저 노래가 머리에 맴도네요힘을내요 미스맘~~이라고 스스로 위로해봅니다
","'만', '글', '비록', '상황', '그닥', '만요', '우선', '아기', '출산', '조리', '약', '주정', '조리', '천국', '별난', '저', '애', '데리', '방', '기저귀', '새벽같이', '모유수유', '콜', '하루', '종일', '모유', '새벽', '방울', '아모', '모유', '엄마', '혼합', '수유', '엊그제', '조리', '졸업', '집', '좀비', '독박', '육아', '분', '친정엄마', '가족', '친척', '친구', '그', '누구', '도움', '집', '육아', '정말', '지옥', '다애', '안고', '어깨', '죽지', '손', '분유', '타고', '분', '유물', '동안', '애가', '난리', '분유', '하나', '더', '물', '온도', '잘못', '애', '더', '악', '샤워', '땀', '냄새', '머리', '귀신', '산발', '밥', '미역국', '말', '기저귀', '갈고', '수유', '트림', '몇개', '젖병', '정말', '눈코뜰새', '하루', '기저귀', '장', '교체', '우리', '딸', '전', '초보', '맘', '엄마', '맘', '발진', '노심초사', '기저귀', '얼굴', '벌써', '오줌', '샤워', '때', '꼭', '딸', '등', '센서', '눈', '똥그랗', '다시', '사인', '혼자', '애', '신분', '저', '애', '언니', '동생', '징징', '징', '하소연', '모유', '분유', '딸', '뒤로', '유축', '후', '카페', '가족', '도', '징징', '징', '자주', '맘', '글', '하나', '고', '육아', '달리기', '가사', '끝', '계속', '저', '노래', '머리', '맴', '힘', '요', '미스', '맘', '스스로', '위로'","'100일의 기적이오면좀더 수월하실거에요~~~💕', '100일의 기절이 되지않길 바랍니다!! ㅋㅋ 프로필 사진 너무 사랑스럽고 귀엽네요^^', '생각만 해도 너무 힘들어요 ㅠㅠ 저도 그시기에 너무 힘들었던터라 조금 지나면 괜찮아지실꺼예요 몸잘챙기세요❤️', '몸 잘챙겨보겠다고 손목아대는 열심히 하고 있는데 손가락 마디마디가 부서지는것같은 극한 고통을 느끼고 있습니다 ㅠㅠ 혼자 키우면 몸 잘 못챙기게 되는거같아요 애기 더 안아주고 싶은데 갑자기 힘풀려 떨어뜨릴까 겁난적도 있어요 ㅠㅠ', '애셋인데 첫째때가 젤힘들었어요경험도 없고 씻지도 못하고 끼니도 거르고 화장실에도 우는 아이 안고 가서 볼일보고..힘드실거예요ㅠ그래도 애 조금씩 크면서 좋아집니다~홧팅요~^^', '힘들지요ㅜㅅㅜ흑 힘내셔요ㅜㅅㅜ 저도 이제4개월들어왔는데  죽을똥말똥하고있어요 ㅋㅋ', '기쁨이맘님 오랜만에 오셨네요아기는 잘 크는지 어떤지 궁금했어요~~ 많이 힘든가요? 전 이제 6개월인데 스트레스를 너무 받아서.. 제가 가야할 길을 먼저 가고 있는 기쁨이맘님이 어떤지 아기는 낳으니 더더 예쁜지 심리적으로 어떤지 등등 정말 한 번 만나서 수다떨고 싶어요비오는데 맛있는 거라도 드시고 힘내세요인천에서 진심으로 응원드려요! 예쁜 아기 쑥쑥 자라길 기도하겠습니다!', '아기는 잘 크고 있어요~저처럼 혼자 하셔야한다면 많이 힘드실거에요 전 낳기전부터  각오했는데 육체적인 현실적 고통이 따르니 너무 힘들고 괴롭네요 다행히 기쁨이가 많이 보채지않고 잘먹고 잘자요 이제 적응되면 괜찮아질테지만 그때까지는 힘드시니 에너지 많이 축적해두시고 건강 잘 챙기세요~인연이 되면 한번 만나서 수다떠는것도 좋겠네요^^', '그만때 어찌살았는지 기억도 희미하네요 무지 힘들었다는 기억만선명할뿐...ㅠ.ㅠ너무너무 잘하고계셔요~~~틈나는대로 주무시고 먹고 쉬세요 응원할께요~~^^', '50일전까진 엄마몸이 회복이 안된때라 넘 힘들때에요 ㅜ저두 그맘때 누웠다 일어날때 기어서 일어나고 손목은 너덜너덜 해져서 애기 안기도 힘들고 그랬어요 ㅜ실례가 안된다면 울딸 지금 9개월인데 봄에 입었던 옷들 나눔하고 싶어요 맘님 딸 가을에 입히면 사이즈 대강 맞을듯 해서요 쪽지나 쳇주세요~', '동사무소에 산후도우미 신청하세요. 등급이 되면 5만원정도 내고 10일정도 도움받을수 있어요. 가까이 있음 미역국이라도 챙겨드리고 싶네요. 찬물에 손 대지 말고, 아기 옷은 과탄산, 베이킹소다 넣고 뜨거운물 부어 조물조물 해서 30분정도 방치하면 깨끗해져요. 얼룩 지운다고 비벼빨지 말고 이렇게 하세요. 한일 짤순이(음식물) 하나 사서 아이옷 탈수하면 손목 안비틀고 좋아요. 가격대가 6만원선이지만 구입해놓으면 아이키울동안은 도움될거에요.'",네이버 카페
6,땀냄새,2019.07.31. 00:25,나랑 안맞는 팀장님 어떻게 대해야할까요?,"
직장 생활중 어려움이 있어 글을 씁니다회사에서 바쁨팀은 아니고 업무도 할만하고 동료들도 좋아요 근데 새로오신 팀장님이 괜히 싫으네요ㅠ 전에 남자 팀장님은 조용조용하시고 직원들이 업무적으로 어려움에 처하거나 필요할때 나서서 해결책을 제시해주시고 너무 좋으셨어요 근데 보름전에 새로오신 남자 팀장님은 다리가 불편하셔서 휠체어 타고 다니시고 점심식사하러갈때 주로 제가 휠체어를 밀어드립니다 여름이라 땀냄새도 나시네요휠체어 밀어드리는거는 괜찮은데 자기자랑도 많이하고문제는 계속 직원들 자리 왔다갔다하시면서 하나하나 참견하시는겁니다오늘은 제가 핸드폰배터리가 별로없어서 옆팀에서 충전기 빌려서 충전하려고하는데 팀장님왈 '보조배터리가 직류라서 충전이 더 빠르다는거예요' 그래서 주시길래 꽂아봤더니 1시간30분후 충전이 완료된다는거예요저는 제가 빌려온거를 쓰고싶어서 저 그냥 빌려온걸로 할게요하고 꼽아봤더니 1시간 후 완료된대요그모습을보시고 보조배터리가지고 팀장님 자리로 가시더라고요 제가 평소에 존경했으면 감사히쓰겠습니다 라고했을텐데 왠지 얄미워서 팀장님 민망하게한거같아요 저 참 못됐죠ㅠ앞으로 팀장님을 어떻게 대해야할지 막막하네요ㅠ현명한 맘님들이라면 어떻게하시겠어요?               ★ 잠깐! 게시글 작성 전, 필독 공지! ★- 카페규정 : http://cafe.naver.com/imsanbu/28123090 - 게시판별 운영 정책 : http://cafe.naver.com/imsanbu/35756864                ★ 잠깐! 게시글 작성 전, 필독 공지! ★- 카페규정 : http://cafe.naver.com/imsanbu/28123090 - 게시판별 운영 정책 : http://cafe.naver.com/imsanbu/35756864    
","'직장', '생활', '어려움', '글', '회사', '팀', '업무', '만하', '동료', '팀', '장님', '전', '남자', '팀', '장님', '조용조', '직원', '업무', '어려움', '처', '거나', '때', '해결', '책', '제시', '보름', '전', '남자', '팀', '장님', '다리', '휠체어', '타고', '점심식사', '때', '주로', '제', '휠체어', '여름', '땀', '냄새', '휠체어', '자기', '자랑', '문제', '계속', '직원', '자리', '하나', '하나', '참견', '늘', '제', '핸드폰', '배터리', '별로', '옆팀', '충전기', '충전', '팀', '장님', '왈', '보조', '배터리', '직류', '충전', '더', '충전', '완료', '저', '제', '저', '그냥', '걸', '꼽', '후', '완료', '대요', '모습', '보시', '보조', '배터리', '가지', '팀', '장님', '자리', '제', '평소', '존경', '팀', '장님', '거', '저', '앞', '팀', '장님', '대해', '맘', '잠깐', '게시', '글', '작성', '전', '필독', '공지', '카페', '규정', '게시', '판별', '운영', '정책', '잠깐', '게시', '글', '작성', '전', '필독', '공지', '카페', '규정', '게시', '판별', '운영', '정책'","'빌려온 충전기가 30분 더 빠르니,상식적으로 그걸 쓰는게 합리적인거 같은데요?!근데 약간 관심 받고 싶어하시는 스타일같아요직장 상사들도 나이들수록우쭈쭈 해줘야 기분 좋아하시는거 같더라구요;;;', '그래도 좋은 뜻으로 충전기 내주신거 같은데.. 새로온 팀장님이 어떤식으로 안좋게 하시는진 모르겠지만 그래도 상사이니 잘보여 나쁠건 없겠죠..', '낭창하게 대해보세요ㅎㅎ관심도 좀 주면서 농담도 건네보시고 낭창하게..ㅎ', '상사랑 트러블 나서 좋을거 없어요 ~ 나만 손해 !! 싫어도 앞에서는 왠만하면 티 안내는게 좋을것 같아용', '하.. 저는 여자팀장 아는척 주접떠는거 받아주기 싫어서 받아치다가 퇴사했는데 이렇게 속이 후련할수가없네요ㅠㅠ 진짜 한번 싫으면 웃으며 네네 하기 힘들죠ㅠㅠ..', '네 다들 답변 감사합니다팀장님이 업무적으로 괴롭히는것도 아니고 소소한 팀장님한테 가식적으로라도 상냥하게 대해야겠네요'",네이버 카페
7,땀냄새,2019.07.31. 00:23,나랑 안 맞는 팀장님 어케 대해야할까요?ㅠ,"
직장 생활중 어려움이 있어 글을 씁니다회사에서 바쁨팀은 아니고 업무도 할만하고 동료들도 좋아요 근데 새로오신 팀장님이 괜히 싫으네요ㅠ 전에 남자 팀장님은 조용조용하시고 직원들이 업무적으로 어려움에 처하거나 필요할때 나서서 해결책을 제시해주시고 너무 좋으셨어요 근데 보름전에 새로오신 남자 팀장님은 다리가 불편하셔서 휠체어 타고 다니시고 점심식사하러갈때 주로 제가 휠체어를 밀어드립니다 여름이라 땀냄새도 나시네요휠체어 밀어드리는거는 괜찮은데 자기자랑도 많이하고문제는 계속 직원들 자리 왔다갔다하시면서 하나하나 참견하시는겁니다오늘은 제가 핸드폰배터리가 별로없어서 옆팀에서 충전기 빌려서 충전하려고하는데 팀장님왈 '보조배터리가 직류라서 충전이 더 빠르다는거예요' 그래서 주시길래 꽂아봤더니 1시간30분후 충전이 완료된다는거예요저는 제가 빌려온거를 쓰고싶어서 저 그냥 빌려온걸로 할게요하고 꼽아봤더니 1시간 후 완료된대요그모습을보시고 보조배터리가지고 팀장님 자리로 가시더라고요 제가 평소에 존경했으면 감사히쓰겠습니다 라고했을텐데 왠지 얄미워서 팀장님 민망하게한거같아요 저 참 못됐죠ㅠ앞으로 팀장님을 어떻게 대해야할지 막막하네요ㅠ현명한 맘님들이라면 어떻게하시겠어요? 
","'직장', '생활', '어려움', '글', '회사', '팀', '업무', '만하', '동료', '팀', '장님', '전', '남자', '팀', '장님', '조용조', '직원', '업무', '어려움', '처', '거나', '때', '해결', '책', '제시', '보름', '전', '남자', '팀', '장님', '다리', '휠체어', '타고', '점심식사', '때', '주로', '제', '휠체어', '여름', '땀', '냄새', '휠체어', '자기', '자랑', '문제', '계속', '직원', '자리', '하나', '하나', '참견', '늘', '제', '핸드폰', '배터리', '별로', '옆팀', '충전기', '충전', '팀', '장님', '왈', '보조', '배터리', '직류', '충전', '더', '충전', '완료', '저', '제', '저', '그냥', '걸', '꼽', '후', '완료', '대요', '모습', '보시', '보조', '배터리', '가지', '팀', '장님', '자리', '제', '평소', '존경', '팀', '장님', '거', '저', '앞', '팀', '장님', '대해', '맘'","'적정선을 유지하시는수밖에 없죠..  잠깐 민망함 주시고, 쭉 편히 지내시는게 좋지 않을까요..  일일이 사사껀껀 다 맞춰주려면 너무 스트레스 받게 될것 같아요...', '혹시 자기딴에는 팀원들과 친해지고 싶어서 일부러 수다(?)도 좀 떨고 사적인 부분도 챙겨보려고 하시는 것 아닐까요? 표현하는 방법이 서툴러서 그럴수도 있으니 잠시 시간을 가지고 지켜봐(?)보세요. 새로오신분이 무게잡고 과묵하고 인상만 쓰고 있으면 그것도 별로잖아요~', '두분 답변감사합니다제가 마음을 열어야하는데 너무 전 팀장님이랑 비교만하려고 했던거 같아요^^'",네이버 카페
8,땀냄새,2019.07.30. 22:04,생리예정일 +3... 임테기 반응이 생리예정일 한참 뒤에 뜰 수도 있나용?,"
28일 생리가 안오더니 여태까지 안오네요..3일이나 지났는데임테기는 무반응이예요ㅠㅠ혹시 늦게 나오는 경우도 있을까요?예를 들면 생리예정일 6일 뒤에나 7일 뒤부터 반응이 있다거나..그런거요~얼른 터지던지..임테기 반응이 있던지 했으면 좋겠네요ㅠㅠ계속 배가 콕콕 아프고탱탱해지는 느낌에가스도 자꾸 차고변비도 생기고몸살올 것 같은 반응에귀차니즘에 무기력해지고머리도 멍 하다 약간 어질하다 그러더라구요..특히 땀 냄새에 속 울렁거리고 막 그래서 죽는 줄 알았어요ㅠ
","'생리', '여태', '무', '반응', '혹시', '경우', '예', '생리', '예정일', '뒤', '뒤', '반응', '거', '얼른', '반응', '계속', '배', '느낌', '가스', '자꾸', '차고', '변비', '생기', '몸살', '것', '반응', '귀차니즘', '무기', '해지', '머리', '멍', '약간', '땀', '냄새', '속', '막', '줄'","'얼리 임테기도 안나오나요?', '얼리는 오늘 배송받았어요ㅠ 일단 첫소변으로 내일 해보려고하는데 단호박 먹을까봐 무섭네요ㅠ', '보통 얼리는 생리 예정일엔 나와요 만약 내일아침 얼리로 단호박이면 임신가능성 낮을거같아요~', '내일 해보고 마음편히 있어야겠네요~ㅠㅠ'",네이버 카페
9,땀냄새,2019.07.30. 20:32,90일 아기머리각질이요,"
태어나서 얼마안되서 머리에 각질같은게 생겼는데샴푸덜빠져서 그런건가싶어 더 깨끗이 씻겨줬거든요머리숱이 별로없어서 속이 횡하게 보일정도인데하루하루 각질이 조금씩 떨어지고 냄새도 나요 땀냄새처럼요왜그러는지 소아과가서 약받아와야하나요?사진올리면좋은데 아기가 자네요위쪽만 그래요 뒤쪽은 괜찮구요왜그러는지 모르겠어요 ㅠ
","'얼마', '머리', '각질', '샴푸', '덜', '건가', '더', '머리', '숱', '별로', '횡하', '정도', '하루하루', '각질', '냄새', '땀', '냄새', '처럼', '왜', '소아과', '약', '사진', '아기', '자네', '위쪽', '뒤쪽', '왜'","'저희 아기는 앞머리 쪽에 그랬는데 자연스럽게 없어진다고 따로 뭘하진 말라고 하셨어요 100일 지나고 아기머리 밀었었는데 한달정도? 뒤에 다 없어진것 같아요', '머리에 호호바오일 씻기기5분전에 듬뿍발라주시고  샴푸로감겨주세요~  몇번하면깨끗해져요', '꼭 호호바오일써야해요?그냥 아기오일은 있는데...', '아기오일쓰셔도되요^^', '시간지나면 자연스럽게 떨어져요. 그거 억지로 다 떼려고하심 안돼요. 첫째는 거의 8개월? 그쯤돼서야 깨끗해졌고 둘째는 6개월쯤 깨끗해졌어요.', '머리밀고나니 너무 잘보여서..손톱으로 툭 쳤는데 너무 손쉽게 떨어지더라구요;;;'",네이버 카페
