,Keyword,Date,Title,Contents,Words,Comments,Source
0,빨래,2019년 8월 20일, ,@mujiusa changed my life. Visual interpretation of Where R U Now by Justin Bieber. Bottom layer I drew witches doing traditional Korean laundry. Middle layer I drew three girls doing jump ropes. On the top layer I drew God bending electric pipes. All this was inspired by Where R U Now by Justin Bieber from 1:08 to 1:50 when the interlude beats drop. Good night everybody!! #colorpen #abstract #weird #synesthesia #psychedelic #jumprope #pipe #electric #빨래 #마귀 #witches,, ,instagram
1,빨래,2019년 8월 20일, ,왜 우리 막내 바지에서 내가 먹지 말라고 한 내 초콜릿이 나오지?#빨래 #널다가 #포착,"'왜', '우리', '막내', '바지', '내', '말', '내', '초콜릿'", ,instagram
2,빨래,2019년 8월 20일, ,"#빨래#아기이불빨래빨래,청소 천천히 해도 힘드네..조금만 움직여도 숨차는 만삭 아줌니ㅠㅠ---#예비딸맘#초보예비맘#황금베이비#아기천사????#새해복덩이??#예비맘#초보임산부#황금돼지띠맘#태교#임산부데일리#임산부일상#임산부패션#육아소통#소통#육아기록#육아정보#임산부그램#신혼2년차#맘스타그램#럽스타그램#부부스타그램#감사","'아기', '이불', '빨래', '빨래', '청소', '해도', '조금', '숨', '만삭', '줌', '초보', '예비', '맘', '황금', '베이비', '아기', '천사', '초보', '임산부', '황금돼지', '띠맘', '태교', '임산부', '데', '일리', '임산부', '일상', '임산부', '패션', '육아', '소통', '소통', '육아', '기록', '육아', '정보', '임산부', '그램', '신혼', '맘', '스타', '그램', '럽', '스타', '그램', '부부', '스타', '그램', '감사'", ,instagram
3,빨래,2019년 8월 20일, ,매일 낮에는 애기랑 집에 있기..씻지도 못하고 머리 어쩔..ㅋㅋ#포그내힙시트 처음 해본날ㅋ#빨래 널려하는데 #아들 칭얼대기 시작!#아기띠 하니까 즘 들었넹ㅋ#사랑해 아들ㅋ#힘들다 근데 #귀여워 #아들맘#육아#집#son#love you#baby#sweetie#babyboy#motherhood#lovekid#igbabies#mybaby,"'매일', '낮', '애기', '집', '못', '머리', '포', '힙', '시트', '처음', '날', '빨래', '시작', '즘', '들었넹', '사랑', '아들', '육아', '집'", ,instagram
4,빨래,2019년 8월 20일, ,[2019 커버뮤직챌린지 자유곡]?하도 많이 불러서 듣는사람이 지겨워질 정도인?이적 -빨래?프로필 링크 들어가서 좋아요 한번씩 눌러주시면 감사하겠습니다???#이적#빨래,"'커버', '뮤직', '린지', '자유', '곡', '사람', '정도', '이적', '빨래', '프로필', '링크', '한번', '빨래'", ,instagram
5,빨래,2019년 8월 20일, ,조금은 색다른 마크라메 ??-#연희동 #달콤잡화점 #연희동잡화점 #인테리어소품 #마크라메 #인테리어 #샹들리에행거 #샹들리에 #행잉장식 #컬러마크라메 #빨래 #빨래집게,"'조금', '마크', '메'", ,instagram
6,빨래,2019년 8월 20일, ,#유니폼 빨기.이틀연속 훈련이 있어 유니폼을 빨고 있으니 자기가 하겠다고~~이야~~마무리는 내가 했지만 기특하네^^.#빨래#자기옷빨기#부모님돕기,"'이틀', '연속', '훈련', '유니폼', '빨', '자기', '마무리', '내', '자기', '옷', '부모님', '돕기'", ,instagram
7,빨래,2019년 8월 20일, ,아이디어 상품우리집에 필요한분~손????(댓글~총30명)(편의점1만권 드려요)(8월말 발표),"'아이디어', '상품', '우리', '집', '분', '손', '댓글', '총', '명', '편의점', '발표'", ,instagram
8,빨래,2019년 8월 20일, ,#셀프빨래방이불빨래 하면 좋겠다.집 근처에 있는데아직 세탁기 건조기를 안사서급한데로 빨래방에 왔다.생각보다 너무 좋은데.. 1만원 ㅋㅋ나의 #다산신도시 생활이 시작되었구나#?? #입주완료 이삿짐센터 짱이삿짐센터가 다했음고마워요 #kgb이사,"'집', '근처', '세탁기', '건조기', '빨래', '방', '생각', '나', '생활', '시작', '이삿짐', '센터', '이삿짐', '센터'", ,instagram
9,빨래,2019년 8월 20일, ,옥상의 빨래를 보니예전에 봤던 뮤지컬 빨래 생각난다'서울 살이 몇 핸가요' 하고 노래가 나올 때 옆에서 울던 진짜 서울살이 하는 이모양도^^.. .잘 살고 있나여 난 잘 살고있어#군산살이가서울살이에게 #빨래,"'옥상', '빨래', '예전', '뮤지컬', '빨래', '서울', '살이', '몇', '핸가', '노래', '때', '옆', '진짜', '서울', '살이', '이모', '양도', '살', '난', '군산', '살이', '서울', '살이'", ,instagram
