,Keyword,Date,Title,Contents,Words,Comments,Source
0,빨래,2019년 8월 17일, ,봉사대 뒷풀이#뮤지컬 #빨래,"'봉사', '풀이', '뮤지컬'", ,instagram
1,빨래,2019년 8월 17일, ,헤헤 일본에 사는 친구한테 하도 기헌님 짱짱이라구 자랑 해놨는뎅 오늘 한국에서 같이 공연볼수 있어서 기뻤구용🙋‍♀️💓기헌님이 사진 찍어주시는거 매번 나머지사진은 나 혼자 봐야딩>_<하구 인스타에 한장만 올리고 그랬눈뎅 오늘 폰 보니까 사진 마니 찌거주셔따ㅠ_ㅠ 흐어 보면서 심쿵쓰❤... 눈부셔💫...저같은 인간이 어떻게 빛을 똑바로 보겠나요🙈..... 여튼 너무너무 귀여워서 온 세상에 우리 귀요미좀봐주세요ㅠㅠㅠ하는 맘으로 오늘은 두장 올려야디😘 매번 고마워요❤ 오늘 나 혼자만의 갬동포인트가 많아서 잠못자... #뮤지컬빨래 #대학로 #빨래 #강기헌,"'헤헤', '일본', '친구', '기헌', '짱짱', '구', '자랑', '뎅', '오늘', '한국', '공연', '용', '기헌', '사진', '매번', '나머지', '사진', '나', '혼자', '봐야딩', '인스타', '한장', '눈뎅', '오늘', '폰', '보', '사진', '심쿵', '저', '인간', '빛', '똑바로', '여', '온', '세상', '우리', '귀요미', '좀', '맘', '오늘', '장', '매번', '오늘', '나', '혼자', '포인트'", ,instagram
2,빨래,2019년 8월 17일, ,-걸리버님.소름끼치도록 좋던 #빨래 라이브모든게 이원석스럽던날❤️이래서 다들 이원석~ 이원석 하는거지...#데이브레이크 #썸머매드니스2019 #복면가왕 #걸리버 #이원석 #완성형밴드#❤️ #daybreak #나의새벽오빠,"'걸리버', '라이브', '모든', '이원석', '날', '이원석', '이원석'", ,instagram
3,빨래,2019년 8월 17일, ,#축뽁이 #빨래 시작 #아가냄새 #풀풀 아직도 2번은 더해야 모든 #빨래 끝낼수 있지만 #열심히 #준비해볼께 #황금돼지띠예비맘 #슬슬 #무섭고 #기대되고 #여러가지 #감정😌,"'시작', '번은', '모든'", ,instagram
4,빨래,2019년 8월 17일, ,유민상 실내 스카이다이빙 하는거 보고있으니 운동할겸 나도 스카이다이빙해줄게 하더니#턱도깨짐 #우리사이도깨짐,"'유민상', '실내', '스카이', '다이빙', '운동', '겸', '스카이', '다이빙', '턱'", ,instagram
5,빨래,2019년 8월 17일, ,"🤰🏻❤️🙆🏻‍♂️-((두근 D-11일//👶🏻))-2019.8.17/ 38주3일/ 태동검사 🥰*저번주 3.1kg정도였고 운동 열심히 해서 이번 주 낳아야 딱 좋다했었는데,, 이브는 안 나오고 오늘 3.3kg.... 우리 아들 배에서 잘 크고있네~ 요즘 식욕도 없고 출산준비때문에 빨래랑 집청소하느라 몸이 힘든데도 쑥쑥크네😍태반에 묻혀서 얼굴옆에 주먹놓고 있는 초음파 넘나리 귀여운데...ㅎㅅㅎ 🦔 ㅋㅋㅋ-","'주', '태동', '검사', '저번', '주', '정도', '운동', '이번', '주', '이브', '안', '오늘', '우리', '아들', '배', '요즘', '식욕', '출산', '준비', '때문', '빨래', '집', '청소', '몸', '태반', '얼굴', '옆', '주먹', '초음파'", ,instagram
6,빨래,2019년 8월 17일, ,"사랑스런 내딸 다인이ㅋㅋ엄마의 향기에 취했니?ㅋ자는동안 뭐이리 할일이 많은지...토스트 대충 구워먹고 젖병 열탕소독하고 하루종일 빨래ㄷㄷㄷ손수건만 하루 30장씩, 아기옷,천기저귀,우리빨래 하다보니 밤11시😅😅😅😂😂😂매일 넘 바빠... #주부 #일상 #육아 #힘듬 #바쁨 #집안일 #젖병 #소독 #빨래","'내딸', '다인', '엄마', '향기', '취했', '동안', '뭐', '일이', '토스트', '대충', '젖병', '열탕', '소독', '하루', '종일', '빨래', '손수건', '하루', '장', '아기', '옷', '기저귀', '우리', '빨래', '밤', '매일'", ,instagram
7,빨래,2019년 8월 17일, ,#또#고#건#영#빨래#넘잼#👭,"'고', '건', '영', '빨래', '잼'", ,instagram
8,빨래,2019년 8월 17일, ,오전 브런치를 시작으로~.오늘의 나를 돌아보면무슨 길동이 사촌도 아니고창원.광양.여수로동번서번한 여수줌마🙋.우리집 상전들하고 3일동안재밌게 놀고먹어야 의무감으로이 한몸 열띤봉사와내지갑또한 내것이 아니었음을 알았도다..지금에야 머리눕히고 인별하며돌이켜보니 몸은 고단해도.#오늘도행복했다#브런치#페르소나#우동#부산갈매기#봉오동전투#목탕#우리집#빨래#일상#인생뭐있어,"'오전', '브런치', '시작', '오늘', '무슨', '길동', '사촌', '창원', '광양', '수로', '동번서번', '줌마', '우리', '집', '상전', '의무감', '몸', '띤', '봉사', '지갑', '또한', '것', '음', '도', '지금', '머리', '인별', '몸', '고단', '브런치', '페르소나', '우동', '부산', '갈매기', '봉오동전투', '목탕', '우리', '집', '빨래', '일상', '인생', '뭐'", ,instagram
9,빨래,2019년 8월 17일, ,#빨래,, ,instagram
10,빨래,2019년 8월 17일, ,#뮤지컬#빨래#동양예술극장#대학로#혜화동빨래뮤지컬은 재미와 감동을 모두 주었다.하루종일 힘든줄 모르고 웃다 떠들다 보낸 하루.아~~너무 피곤해.ㅋ,"'빨래', '동양', '예술', '극장', '대학로', '혜화동', '빨래', '뮤지컬', '재미', '감동', '모두', '하루', '종일', '하루'", ,instagram
11,빨래,2019년 8월 17일, ,최고야 👍#빨래,'최고', ,instagram
12,빨래,2019년 8월 17일, ,고퀄로 노는 방법🎬-뮤지컬 <빨래>를 봤다. 너모 재밋다. 몰입해버려서 배우들 미래까지 걱정하는 우리..흑백사진을 찍었다. 간지를 찾고 보정을 버렸다. 너무 객관적인 내 얼굴과 마주한 느낌이다. 후!.티키틱 <후회의 노래>를 패러디해보았다.중간에 현타가 왔다. 하지만 우린 굴하지않지!.마지막은 세기말 걤성사진~.~-#혜화역 #대학로 #뮤지컬 #빨래 #흑백사진 #이미지사진 #토담쓰담 #티키틱 #패러디 #후회의노래 #카페 #슬로스텝 #꿀자몽 #짱맛탱,"'퀄', '노', '방법', '뮤지컬', '빨래', '를', '모', '재밋다', '몰입', '배우', '미래', '걱정', '우리', '흑백사진', '간지', '보정', '객관', '내', '얼굴', '마주', '느낌', '후', '티키', '후회', '노래', '를', '패러디', '중간', '타가', '우린', '굴', '마지막', '세기말', '걤', '사진'", ,instagram
13,빨래,2019년 8월 17일, ,#브랜드체인지음하음하음하하하하하이게바로 브렌드체인지의 정석 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 당분간 화장품걱정은 안하겠네 ㅋㅋㅋㅋㅋㅋㅋㅋ 아 진심 좋다😍 개좋다 ㅋㅋ 핵좋다 #짱좋다...#amwaylife #아티스트리 #유스익스텐드 #하이드라브이 #유스익스텐드울트라 #글로벌top5프리미엄스킨케어브랜드 #amway #artistry #화장품추천 #놓치지않을거에요 #토요일저녁 #주말저녁 #집순이 #청소중 #설거지 #빨래 #방청소 #화장실청소 #쉴틈이없어요,"'브렌', '드', '체인지', '정석', '당분간', '화장품', '걱정', '진심', '개', '핵'", ,instagram
