,Keyword,Date,Title,Contents,Words,Comments,Source
0,섬유유연제,2019.08.15. 12:16,세제랑 섬유유연제 뭐쓰세요?,"
여태껏 아기용 같이썼는데 때가 잘안지는거같아서 바꿀까하는데 뭐쓰시나요?3살4살 아이들이랑 같이 어른용 써도 될런지아님 애기들은 유아용써야되는지..가끔씩 뭐묻은게 그대로 있어요ㅠㅠ
","'여태껏', '아기', '용', '때', '뭐', '살', '살', '아이', '런', '지아', '애기', '유아', '용', '가끔', '뭐', '은', '그대로'","'전 애기옷에 뭐묻으면 암웨이 프리워시로 지우고 세제는 블랑 쓰고 있어용!!', '아 참고할께요^^', '토루토루 쓰고있는데 향도거의무향이고 좋아요 적은양으로 잘빨려요', '글쿤요 참고할께요ㅎ'",네이버 카페
1,섬유유연제,2019.08.15. 07:54,(방화동) 퍼실+섬유유연제 교환,"
신생아랑 같이 있어서 외출이 어렵네요.방화동 방신시장 근처 아파트로 와주셔야 해요.미사용 새제품이예요.브레프 변기세정제옥시크린 스프레이퍼실 리필 일반용아우라 섬유유연제아기가 태어나고는 세탁기에 일반세제를 안쓰고 아기세제로 전부 빨고 있어 필요가 없네요.스벅 아메리카노 1잔 기프트콘과 교환하고 싶어요.
","'신생아', '외출', '방화동', '방', '시장', '근처', '아파트', '해', '미사', '용', '제품', '브', '레프', '변기', '정제', '옥', '시크', '린', '스프레이', '퍼실', '리필', '일반', '섬유', '유연제', '아기', '세탁기', '세제', '아기', '제로', '전부', '빨', '필요', '스벅', '아메리카노', '잔', '기프트', '콘', '교환'",,네이버 카페
2,섬유유연제,2019.08.15. 00:39,"아토피,민감성피부에 좋은 에코엘 수소크린~!","
요즘 저한테 에코엘수소크린이 어디나라꺼냐고댓글로 물어보시는분들이 몇분 계시더라구요.?안그래도 요즘 이슈가 되고 있는 일본불매운동에저도 무척 민감해하고 있는 사람중 하나인데요~~!!?에코엘 수소크린은 당연히 100% 국내생산대한민국 제품입니다~~!! @_@!!?오늘은 항상 깔고 자고있는 쿨매트를 세탁하러집앞 빨래방에 왔어요.?항상 땀으로 범벅이 되는 우리가족을 시원하게 잠자를 만들어주는 쿨매트~~!!근데~ 어제 그 소중한 쿨매트에 하윤이가 똥쌌어요 ㅋㅋㅋ?부르룩~~ 똥을 싸서 기저귀를 갈아주려고살짝 뺐는데 그 짧은 5초사이에 참지를 못하고똥꼬에서 똥이~~ ㅋㅋㅋㅋㅋ?그래서 집앞 빨래방에 쿨매트를 들고 왔답니다.?빨래방에 가끔 오지만 항상 빨래 돌릴적에자동으로 세제와 유연제가 나오는 시스템이거든요.그래서 저는 항상 빨래방에서 나오는 세제가 아닌수소크린으로 세탁을 하고 싶어서?빨래방안에 대문짝 만하게 붙어있는 관계자의 핸드폰에전화를 했어요.. ㅋㅋㅋㅋㅋ그래서 자동으로 나오는 세제와 유연제를 스탑을 시키고에코엘 수소크린을 넣고 세탁을 시작하였답니다.??( 솔직히.. 저같은 손님은 처음이라면서빨래방의 사장님이이 가르쳐주면서 짜증을 내시던데.그러면 나 소비자불만으로 신고할꺼에요~! ㅋㅋ 왜 꼭 세탁할때 사장이 넣은 세제로 세탁을 해야하나요~~내가 가지고온 세제로 세탁하고 싶은데~~ 흥!! ㅋㅋ )?제가 지금 한달을 넘게 수소크린으로 세탁을 하면서직접 사용후 느낀점 하나는~~!!친환경세제이기 때문에 우리옷이 세탁후에도 화학물질이세탁물에 남아있지 않기때문에 수소크린으로 세탁후옷을 입어도 우리의 피부가 근지럽거나 꿉꿉한 곰팡이냄새가 나지 않는다는거에요~~?요즘 비가 많이 내리고 집에서도 더워서 창문을 닫고에어컨을 틀고 하루종일 환기도 잘 안시키는데수소크린을 사용하기 전엔 세탁실에서 곰팡이 썩은 냄새나빨래 후 섬유유연제의 그 꿉꿉한 냄새가 났었는데.지금은 아무냄새가 안난다는거에요~~~그냥 아주 깔끔한 우리집 냄새만 나요 ㅋㅋ?예전엔 섬유유연제 냄새가 좋아서 막 펑펑 넣고 그랬는데그게 그렇게 우리 피부에 안좋았더라구요.그냥 넣으라는 적당량만 넣어야 하는데냄새가 많이 나라고 펑펑 넣었었거든요 ㅋㅋㅋ;??그래서 일반 셀프빨래방에서도 저는 수소크린으로세탁을 꼭 할꺼에요~~!! ㅋㅋㅋ?에코엘 수소크린은 천연원료로 수소크린의 수소환원볼에서 수소가 발생이 되어찌든 때를 분해하고 다양한 천연미네랄 볼들에서 인체에 무해한 천연 계면성물질을 생성하여 세쳑력을증가시키고 쳔연미네랄의 상호작용에 의하여항균력, 탈취력, 수질정화력등을 높여주는 제품이에요.?1회 세탁 / 1회 헹굼 / 1회 탈수로시간절약과 거품이 없어 옷감에 화학물질이 잔존하지 않아 인체에 무해하며 세탁양에 따라다르지만 300회까지 사용할수 있어요.에코엘 수소크린을 사용하며 거품없이 세탁물을깨끗하게 세탁할수 있어요.처음에 사용할땐 어떻게 거품없이 빨래를 할수 있나계속 의심하고 살펴보고 그랬는데..지금은 의심없이 아주 잘 사용하고 있답니다. ㅋㅋㅋ!!?수소크린을 같이 넣고 건조기에 쿨매트를 돌렸더니수소크린이 아주 깨끗하게 싹 말랐어요 ㅋㅋㅋ정말 편하고 좋은데요!ㅋㅋ???조금은 유난스럽고 짜증났지만그래도 셀프 세탁방에서 에코엘 수소크린으로 빨래 완료~!?깔끔하게 세탁후에 이제 집으로 고고씽!!! ㅋㅋㅋ★ 잠깐! 게시글?작성 전, 필독 공지! ★- 카페규정 : http://cafe.naver.com/imsanbu/28123090?- 게시판별 운영 정책 : http://cafe.naver.com/imsanbu/35756864
","'요즘', '저', '에코', '수소', '린', '어디', '댓글', '분', '분', '요즘', '이슈', '불매운동', '도', '무척', '사람', '하나', '요', '에코', '수소', '린', '국내', '생산', '대한민국', '제품', '오늘', '항상', '쿨', '매트', '세탁', '집앞', '빨래', '방', '항상', '땀', '범벅', '우리', '가족', '쿨', '매트', '어제', '그', '쿨', '매트', '하윤', '똥', '부르룩', '똥', '기저귀', '살짝', '그', '똥꼬', '똥', '집앞', '빨래', '방', '쿨', '매트', '빨래', '방', '가끔', '오지', '항상', '빨래', '적', '자동', '세제', '유연제', '시스템', '저', '항상', '빨래', '방', '세제', '린', '세탁', '빨래', '방안', '문짝', '만하', '관계자', '핸드폰', '전화', '자동', '세제', '유연제', '스탑', '에코', '수소', '린', '세탁', '시작', '저', '손님', '처음', '면서', '빨래', '방', '장님', '짜증', '나', '소비자', '불만', '신고', '왜', '꼭', '세탁', '때', '사장', '세제', '세탁', '내', '가지', '고온', '세제', '세탁', '흥', '제', '지금', '달', '수소', '린', '세탁', '직접', '사용', '후', '점', '하나', '친환경', '세제', '이기', '때문', '우리', '옷', '세탁', '후', '화학물질', '세탁물', '때문', '수소', '린', '세탁', '후옷', '우리', '피부', '럽', '거나', '곰팡이', '냄새', '요즘', '비', '집', '창문', '에어컨', '틀', '하루', '종일', '환기', '린', '사용', '전', '세탁실', '곰팡이', '냄새', '빨래', '후', '섬유', '유연제', '그', '냄새', '지금', '냄새', '그냥', '아주', '우리', '집', '냄새', '예전', '섬유', '유연제', '냄새', '막', '펑펑', '그게', '우리', '피부', '그냥', '적당량', '냄새', '나라고', '펑펑', '일반', '셀프', '빨래', '방', '저', '수소', '린', '세탁', '꼭', '에코', '수소', '린', '원료', '수소', '린', '소환', '볼', '수소', '발생', '때', '분해', '천연', '미네랄', '볼', '인체', '무', '천연', '계면', '물질', '생', '쳑', '증가', '쳔', '미네랄', '상호작용', '항균', '탈취', '수질', '정화', '등', '제품', '세탁', '헹굼', '탈수', '시간', '절약', '거품', '옷감', '화학물질', '잔', '인체', '무', '세탁', '사용', '에코', '수소', '린', '사용', '거품', '세탁물', '세탁', '처음', '사용', '땐', '거품', '빨래', '계속', '의심', '지금', '의심', '아주', '사용', '수소', '린', '건조기', '쿨', '매트', '수소', '린', '아주', '싹', '정말', '요', '조금', '셀프', '세탁', '방', '에코', '수소', '린', '빨래', '완료', '세탁', '후', '이제', '집', '고고씽', '잠깐', '게시', '글', '작성', '전', '필독', '공지', '카페', '규정', '게시', '판별', '운영', '정책'",,네이버 카페
3,섬유유연제,2019.08.14. 23:04,[레드루트] 아이브제 레드루트 세탁세제 유기농이라 좋아요,"
아이브제 레드루트 세탁세제 유기농이라 좋아요아가용 바디워시, 젖병세정제 등은 한 브랜드로 정착한 상태인데 아기세제는 몇 개 사용해봐도 크게 마음에 드는게 없어서 정착을 못하고 유목민이었어요그러던 중 바베파파에서 나온 아이브제 레드루트 유아전용 세탁세제를 사용해보게 되었어요레드루트 유아전용 세탁세제 세이지 시트러스향으로 1L 용량이에요세제 닉네임 살짝 부르기 헷갈리네요 레드트루라고 적을 뻔 했어요 레드루트에요! 제품 포장을 이렇게 깔끔한게 한거 처음 봐서 올려봐요???오리지널과 시트러스향 두 종류가 있어요 제품디자인은 귀여운 동물 모양이더라구요레드루트 세탁 세제 외에도 주방세제, 섬유유연제, 얼룩제거제 등이 있던데 다른 것도 한 번 사용해보고 싶네요 유기농세제로 신생아빨래도 가능해요 출산준비물로 미리 준비해도 너무 좋을 거 같아요 유기농세제랑 천연세제 차이 혹시 아세요? 저는 이번에 처음 알았어요?유기농 세제는 전체 성분의 95%가 동식물에서 유래한 원료임과 동시에10%이상의 유기농 원료로 구성되어야? 함천연세제는 원료성분 중 천연원로 1%만 포함되어 있어도 천연제품 이라고 하는데 레드루트 세탁세제는 유기농성분과 인증기간에서 인증받은 유기농 제품이에요  이미지 출처: 바베파파 홈페이지 해당 제품페이지?유기농 제품이라 민감피부에도 자극없이 안심하고 사용할 수 있어요 유기농 인증뿐만 아니라 피부무자극 최고등급 획득, 경구독성 테스트 안전인증, CMIT/MIT 불검출 된 착한 아기세제에요 ?제품 구매 전 안전인증 마크와 유기농 제품 여부 꼼꼼히 확인해보세요!  이미지 출처: 바베파파 홈페이지 해당 제품페이지또한 ?전성분 공개로 믿고 안심하고 사용할 수 있어요  제품디자인 이미지가 캥거루는 오리지널, 오리는 세이지에요 기억하기 쉽죠? 자연에서 얻어지는 천연향료로 고급스럽고 상쾌한 향이에요 ?레드루트 아기세제는 전성분이 식물성 100%로 유기농제품으로 온가족과 함께 사용할 수 있어요화학성분없이 유기농인데도 세척력도 엄청 좋아요 레드비트(빨간무) 발효로 단백질을 분해하는 뛰어난 능력도 있어요 또한 3배 고농축 포뮬러로 1/3정도의 소량으로 세탁가능하여 경제적이에요끈적끈적한거 보이나요? 고농축의 질감 충분히 느껴봐요 ?????레드루트 아기세제 사용해서 세탁을 해봤어요 표준사용량 참고하세요 기존에 사용하는 세탁세제도 유향인데, 개인적으로는 레드루트 향이 더 좋더라구요 ?저는 이번 기회에 세탁세제 레드루트로 정착해볼까 해요 :) 아이브제 레드루트 세탁세제 유기농이라 좋아요 ♥ 출산선물리스트에도 찜! 추천해요 본 포스팅은 바베파파로부터 제품만을 무상으로 제공받아실제 사용 후 작성한 솔직한 후기입니다★ 잠깐! 게시글?작성 전, 필독 공지! ★- 카페규정 : http://cafe.naver.com/imsanbu/28123090?- 게시판별 운영 정책 : http://cafe.naver.com/imsanbu/35756864
","'아이브', '제', '레드', '루트', '세탁', '세제', '유기농', '가용', '바디', '워시', '젖', '병세', '정제', '등', '브랜드', '정착', '상태', '아기', '세제', '몇', '개', '사용', '크게', '마음', '정착', '못', '유목민', '중', '바베', '파파', '아이브', '제', '레드', '루트', '유아', '전용', '세탁', '세제', '사용', '레드', '루트', '유아', '전용', '세탁', '세제', '세이지', '트러스', '향', '용량', '세제', '닉네임', '살짝', '레드', '트루', '적', '뻔', '레드', '루트', '제품', '포장', '거', '처음', '리지', '널', '트러스', '향', '두', '종류', '제품디자인', '동물', '모양', '레드', '루트', '세탁', '세제', '외', '주방', '세제', '섬유', '유연제', '얼룩', '거제', '등', '다른', '것', '번', '사용', '유기농', '제로', '신생아', '빨래', '출산', '준비물', '미리', '준비', '거', '유기농', '세제', '천연', '세제', '차이', '혹시', '저', '이번', '처음', '유기농', '세제', '전체', '성분', '동식물', '유래', '원료', '임', '동시', '이상', '유기농', '원료', '구성', '함', '천연', '세제', '원료', '성분', '중', '천연', '원로', '만', '포함', '천연', '제품', '레드', '루트', '세탁', '세제', '유기농', '분과', '인증', '기간', '인증', '유기농', '제품', '이미지', '출처', '바베', '파파', '홈페이지', '해당', '제품', '페이지', '유기농', '제품', '민감', '피부', '자극', '안심', '사용', '수', '유기농', '인증', '피부', '무자', '최고', '등급', '획득', '독성', '테스트', '안전', '인증', '불검', '아기', '세제', '제품', '구매', '전', '안전', '인증', '마크', '유기농', '제품', '여부', '확인', '이미지', '출처', '바베', '파파', '홈페이지', '해당', '제품', '페이지', '또한', '성분', '공개', '안심', '사용', '수', '제품디자인', '이미지', '캥거루', '리지', '널', '오리', '세이지', '기억', '자연', '향료', '향', '레드', '루트', '아기', '세제', '성분', '식물성', '로', '유기농', '제품', '가족', '사용', '수', '화학', '성분', '유기농', '도', '세척', '레드', '비트', '무', '발효', '단백질', '분해', '능력', '또한', '배', '농축', '포', '뮬러', '정도', '소량', '세탁', '경제', '농축', '질감', '레드', '루트', '아기', '세제', '사용', '세탁', '표준', '용량', '참고', '기존', '사용', '탁세', '제도', '유향', '개인', '레드', '루트', '향', '더', '저', '이번', '기회', '세탁', '세제', '레드', '루트', '정착', '해', '아이브', '제', '레드', '루트', '세탁', '세제', '유기농', '출산', '선물', '리스트', '찜', '추천', '포스팅', '바베', '파파', '로부터', '제품', '무상', '제공', '실제', '사용', '후', '작성', '후기', '잠깐', '게시', '글', '작성', '전', '필독', '공지', '카페', '규정', '게시', '판별', '운영', '정책'",'블로그: https://blog.naver.com/heaven0a7/221616690188인스타: https://www.instagram.com/p/B1Ja0M-FaPq/?igshid=k245izkb3mkt바베파파: http://www.babeapapa.com/shop/goods/goods_view.php?goodsno=2011',네이버 카페
4,섬유유연제,2019.08.14. 20:17,아기 세탁세제 섬유유연제 젖병세제 뭐쓰세요,"
더블하트꺼 왕창 사놨어요?젖병세제는 아직 좀있는데?세탁세제는 다 써가서 바꾸려구요?쇼핑하기가 어렵네요ㅠㅠ??????????????★ 잠깐! 게시글?작성 전, 필독 공지! ★- 카페규정 : http://cafe.naver.com/imsanbu/28123090?- 게시판별 운영 정책 : http://cafe.naver.com/imsanbu/35756864???????????????★ 잠깐! 게시글?작성 전, 필독 공지! ★- 카페규정 : http://cafe.naver.com/imsanbu/28123090?- 게시판별 운영 정책 : http://cafe.naver.com/imsanbu/35756864???
","'더블', '하트', '왕창', '젖병', '세제', '세탁', '세제', '쇼핑', '잠깐', '게시', '글', '작성', '전', '필독', '공지', '카페', '규정', '게시', '판별', '운영', '정책', '잠깐', '게시', '글', '작성', '전', '필독', '공지', '카페', '규정', '게시', '판별', '운영', '정책'","'몽디에스요', ""블랑이요'-'"", '네이처러브메레용', '세탁은 블랑 써요', '다 토루토루 쓰고있는데 젖병세제 세정 잘 되구요 성분 믿음가요! 딱 적당량 나와서 낭비도 없어요 ㅋㅋ 3개 쟁여놓고 쓰고있네요', '저 세탁은 토루토루쓰고있어요  알러지성분 무첨가에다가 그외 유해성분무첨가여서 믿고사용중이에요 성분표시도 다되어있구요  무엇보다 세제는무향이지만 섬유유연제는 은은한향이여서 향수같은냄새 싫어하시는분들한텐 딱이에요!', '전 토루토루 베이비파우더 향 사용중인데,~ 향 너무좋아요~ 잔향도 좋고! 유해성분없다해서 아기옷 빨래할때 쓸려고 했는데~ 냄새가 넘 좋아서 우리옷도 다 사용하고있답니당! 건조기 돌려도 잔향 남아있더라구요~양도 헤자스러워서 더 좋은거같아요 ㅎㅎㅎㅎ', '저두 더블하트썻다가.. .싹 갈아치웟어요~  어니스트맘 세제가 친환경이라서 이거쓰구있어요~~세제 세정제 고르기참힘드네용 ㅠㅠ맘에드시는거찾길바래요~', '저는 르주르용'",네이버 카페
5,섬유유연제,2019.08.14. 18:39,젖비린내 나는 손수건,"
유축 하다보면 손수건에 모유가 많이 묻어 젖비린내가 나는데요섬유유연제 쓰시나요?도우미 오셨던 이모님이 쓰지말라던데저는 몇번 썼거든요~한번 쓰면 몇번 빨동안 젖비린내가 안나는거 같더라구요손수건은 아이가 빨기도 하는데 유연제쓰면 많이 안좋을까요?
","'유축', '손수건', '모유', '젖비린내', '섬유', '유연제', '도우미', '이모', '저', '몇번', '한번', '몇번', '빨', '동안', '젖비린내', '손수건', '아이', '빨', '기도', '유연제'","'저는 다썼어요 ㅋㅋ비린내넘심해서', '저도 그냥 쓸까봐요ㅎㅎ', '유연제보다는 삶으면 냄새 안나요', '저는 불량엄마 인가봐요ㅠ귀찮...^-^;;;;;;;', '요즘 세탁기에는 삶음기능도 있더라구요~ 저도 세탁기로 삶아요 ㅎㅎ', '오 세탁기 기능을 자세히 봐야겠네요!!감사합니다^-^', '매번은 아니지만 유연제 가끔쓰고 시간날때 한번씩 삶아줘요', '삶을 엄두가 안나요^-^;;;불량엄마 인가봐요ㅠ', '무향 세제쓰면 냄새나요..향나는 세제써요저는 신생아때부터 유연제썼어요 비린내 싫어서요', '전 안써요 아기세탁기로 삶음세탁하고 과탄산 드간 천연세제로 세탁하니 냄새 안나던데요', '꼭 삶지않아도 온수로만 물 많이해서 세탁하면 냄새안나요~유연제는 안써도 될거같아요'",네이버 카페
6,섬유유연제,2019.08.14. 18:26,"액체형 세재, 섬유유연제를 쓰고있는데 워터디스펜서 연결해도 될까요?","
액체형 세재, 섬유유연제를 쓰고있는데 워터디스펜서 연결해도 될까요?너무 무거워서 워터디스펜서에 넣어서 쓰면 간편할 것 같아서요어떻게 생각하세요!?★ 잠깐! 게시글?작성 전, 필독 공지! ★- 카페규정 : http://cafe.naver.com/imsanbu/28123090?- 게시판별 운영 정책 : http://cafe.naver.com/imsanbu/35756864
","'액체', '섬유', '유연제', '워터', '디', '스펜서', '요', '무거워', '워터', '디', '스펜서', '것', '생각', '잠깐', '게시', '글', '작성', '전', '필독', '공지', '카페', '규정', '게시', '판별', '운영', '정책'",,네이버 카페
7,섬유유연제,2019.08.14. 17:47,아기세탁기 청소 및 아기 세탁법,"
1. 아기세탁기에는 세탁조 클리너로청소할까하는데 사용해도되죠?청소하고 바로 애기옷빨아도되죠?2. 아기옷이나 용품 도대체 어떻게 세탁해야하나요?섬유유연제는 안쓰고 세탁세제만 넣고자연건조 시킬려고하는데요..세탁 1번하고 헹굼이랑 탈수 2-3번하면되나요?손수건은 세제랑 베이킹소다넣고삶는다고하던데 그러면되나요?출산전 빨래해보신분이나 아기 키우고계신분들 조언부탁드려용~~ㅠㅠ
","'아기', '세탁기', '세탁', '클리', '너', '청소', '사용', '청소', '바로', '애기', '옷', '아기', '옷', '용품', '도대체', '세탁', '섬유', '유연제', '세탁', '세제', '연건', '세탁', '헹굼', '탈수', '손수건', '세제', '베이', '킹소', '출산', '전', '빨래', '신분', '아기', '신분', '조언'","'저랑 똑같은 고민중이시네요ㅠ 섬유린스는 신생아땐 안쓴다던대...', '넹~섬유유연제는 사용 안할려구요ㅎ세탁세제만 넣고 빨래하고(무향)건조대에 널어서 자연으로 말리고또 빨고 2-3번 반복할까싶기도하구요ㅎ', '저번주에 빨래했어요 ㅈㅓ도수없이고민.. 다들너무말이다르고 그리고 유별난사람들은 특히나 더 어렵고 헷갈리고.. ㅋㅋ처음이라 그렇겟지만요 ^^;  참고로 저희집은 건조기는없어요 햇빛에 바짝말렸어요 그리고 그게더 좋다고하더라구요 손수건은 무조건 망에넣구요 ~ 배냇저고리 바디수트양말손싸개 이건망에안넣고 천기저귀나방수요도 망에넣었구요 대신다 따로따로빨았구요 ~ 아기섬유유연제는 안샀고 , 세제만사서 울코스로했어요 그리고 옷들은 헹굼한번더해주고 3번까지도안했어요 저는 ㅋㅋ 그리고 다 마르면 지퍼백에 접어서 보관하면되요 ^^ 아기세탁기없고 LG트윈워시 세탁기라 따로따로 빨았어요 세탁하기전에 통세척한번해준게 끝이에요 ^^ 도움되시길바래요', '우와~정말도움이된것같아요ㅎ내일부터 슬슬 빨래해야겠어요..근데 세탁기세척도 내일하고내일바로 아기옷 빨아도되죠?통세척은 뭐로하셨어용?', '베이킹소다랑 ,과탄산소다  종이컵 1컵씩해가지고   부엇어요   통살균하면되요 ^^그렇게했어요^^', '아ㅎ사진첨부까지ㅎ감사합니당..내일 밝을때 세척하고바로 세탁도 해놔야겠어요ㅎ', '같은세탁기에요 ?^^도움됐다니  ,  뿌듯하네요 세탁기업체부를까 세탁조살까 하다저렇게했어요:)내일비오지않나요??  햇빛쨍쨍할때하세요하루만에다못해요  ㅠ', '같은세탁기는 아니지만 세탁기 기능다비슷할것같아요ㅎ내일 비 소식있긴하던데ㅠ아님 내일은 통세척만 미리해놓죠뭐ㅎ감사해요옹~~~^^', '네 그러세요 ^^  저는 밤에 통세척했어요  ㅎ', '근데 기본세탁 기능으로하면 안되고 울코스해야돼요?저는 아기세탁기가 따로잇어서요ㅠ', '아기세탁기따로있으면  아기옷  기능하면되겠죠?^^  저도사진에보면 아기옷 있어요 근데 울코스했어요  아기옷기능 2시간넘더라구요 ㅜㅋ', '아아ㅎ첫세탁이다보니 조심스럽고 모르는게많고 그렇네용^^감사해요..한번해볼께용', '저도마찬가지에요 ㅎ담달출산이라  슬준비중이라..'",네이버 카페
8,섬유유연제,2019.08.14. 17:05,섬유유연제 추천하고 싶으신 거 추천해주세요~,"
섬유유연제 세일들을 많이 하더라고요 ㅎㅎ세일할 때 사야지 하고 보고 있는데섬유유연제 추천하고 싶으신 거 추천해주세요~★ 잠깐! 게시글?작성 전, 필독 공지! ★- 카페규정 : http://cafe.naver.com/imsanbu/28123090?- 게시판별 운영 정책 : http://cafe.naver.com/imsanbu/35756864
","'섬유', '유연제', '일', '일', '때', '보고', '섬유', '유연제', '추천', '거', '추천', '잠깐', '게시', '글', '작성', '전', '필독', '공지', '카페', '규정', '게시', '판별', '운영', '정책'",,네이버 카페
9,섬유유연제,2019.08.14. 15:25,베이비로션향 섬유유연제,"
제가 지금 베이비로션향 나는 섬유유연제를사용하는대향이 오래가지않더라구요ㅠ 금방사라지고 무향이되는듯해요ㅜㅜ혹시 사용하시거나사용해보신 베이비로션향이나는  섬유유연제있으시면추천해주세요 ~~~다른향말구요~~
","'제', '지금', '베이비', '로션', '향', '나', '섬유', '유연제', '사용', '향', '가지', '금방', '무향', '해', '혹시', '사용', '사용', '베이비', '로션', '향', '이나', '섬유', '유연제', '추천', '향'",'베이비로션인지 기억은 안나는데.. 토루토루  향 좋아요! 오래가구요 ㅎㅎ 아가아가 한 향이에요~~|!',네이버 카페
