,Keyword,Date,Title,Contents,Words,Comments,Source,URL
0,액체세제,"
		작성일 : 2019-04-03 10:45:31		",제 목 :  원래 액체세제가 더 세정력이 약한가요? 아님 테크가 그런가요,	 지금까지 비트 가루세제 써왔어요.애벌 빨래 할 것들하루이틀 담가놓으면그냥저냥 때가 빠져 있었거든요대신에 세탁기 돌렸을 때찌꺼기가 남는 거 같아서액체세제로 바꿨는데요테크가 월등히 싸길래 사왔는데전에 비트랑 비교하면때가 거의 그대로 있네요.테크가 싼거라서 그런걸까요액체세제가 그런편인건지.... ,"'지금', '비트', '가루', '세제', '애벌', '빨래', '것', '하루', '이틀', '저', '때', '대신', '세탁기', '때', '찌꺼기', '거', '액체', '세제', '테크', '비트', '비교', '때', '거의', '그대로', '테크', '걸', '액체', '세제', '편'","[""1. ㅇㅇ'19.4.3 10:47 AM (175.223.xxx.232)전 말씀하시는 세제가루 때문에 가루세제 뜨거운 물에 녹여서 사용합니다.. 통돌이요,\t\t\t2. 윗님'19.4.3 10:49 AM (124.58.xxx.208)저도 세탁기 돌릴 때 뜨거운 물에 녹이고 가라앉는 것 걸러내고 사용했는데도 검정티셔츠 같은 것에 묻어나더라구요 ㅜㅜ 세탁기가 또 안좋은거라 그런지 ㅎㅎ\t\t\t3. 액체세제도'19.4.3 10:53 AM (223.62.xxx.3)세척력 차이가 많이 나죠  찬물에는 액체세제가 가루세제 보다 낫죠\t\t\t4. 노노'19.4.3 10:59 AM (39.7.xxx.186)세제 잔여물 찌꺼기는 가루세제보다 액체세제가 더 많이 남는다는게 팩트\t\t\t5. 헉'19.4.3 11:04 AM (124.58.xxx.208)윗남 진짜인가요? 일단 눈에 보이는건 확연히 다른데 미세하게 더 남으려나요 ㄷㄷㄷ\t\t\t6. 민석엄마'19.4.3 11:11 AM (59.4.xxx.232)저는 테크 액체세제 베이킹소다랑 구연산들어간것으로 바뀌고 세척력이 좋아져서 옥션같은데서 할인할때마다 쟁여놓고 쓰는데 세탁이 왜안되었을지 궁금하네요.\t\t\t7. 세제..'19.4.3 11:41 AM (122.38.xxx.224)세탁세제나 주방세제나 원리는 같아요. 주방세제가 제일 고급이고..중성세제고..음이온..비이온 비율도 적당하고..기름기를 잘 빼서..저는 주방세제 성분 괜찮은 것과 과탄산이나 베이킹소다 섞어서 빨아요. 이게 제일 안심할 수 있는 조합이라서...\t\t\t8. 윗님'19.4.3 1:29 PM (124.58.xxx.208)그것도 괜찮아보이네요. 저도 가끔 팬티 같은것 퐁퐁으로 문지를 때도 있는데 전체 세탁도 가능하군요.\t\t\t""]",82cook,https://www.82cook.com/entiz/read.php?bn=15&num=2747106&page=1&searchType=search&search1=1&keys=%EC%95%A1%EC%B2%B4%EC%84%B8%EC%A0%9C
1,액체세제,"
		작성일 : 2018-10-29 23:17:53		","제 목 :  테크, 비트 액체세제 쓰시는 분들","	 넬리 같은 친환경 무향만 쓰다가요며칠 진드기 없애는 테크,미세먼지 없애는 비트...이렇게 액체세제로바꿔 봤어요.정량 계량해서 한번씩 사용해 봤는데요.세탁 마치고 구연산 풀어서 한번, 맹물 한번더 헹궈서 꺼냈는데요.다 마르고 나서까지 섬유유연제 쓴것처럼향이 계속 나네요.원래 이런가요???	","'넬리', '친환경', '무향', '며칠', '진드기', '테크', '미세먼지', '비트', '액체', '제로', '정량', '계량', '한번', '사용', '세탁', '마치', '구연산', '한번', '맹물', '한번', '더', '헹궈', '마르고', '섬유', '유연제', '향', '계속', '원래', '가요'",[''],82cook,https://www.82cook.com/entiz/read.php?bn=15&num=2660336&page=1&searchType=search&search1=1&keys=%EC%95%A1%EC%B2%B4%EC%84%B8%EC%A0%9C
2,액체세제,"
		작성일 : 2018-10-02 00:18:00		",제 목 :  액체세제 추천좀 해주세요~,	 그동안 쌓여있던  가루세제만써봐서액체세제는 잘 몰라요^^;;	,"'그동안', '가루', '세제', '액체', '세제'","[""1. ㅁㅁㅁ'18.10.2 12:20 AM (49.196.xxx.150)액체 말고 요즘은 말랑한 젤리같은  타블렛? 모양으로 물에 들어가는 거 팔던데 써보니 편했어요. 액체는 큰거 사면 넘 무겁더라구요.\t\t\t2. 저는'18.10.2 12:32 AM (1.226.xxx.227)뚜껑 달인 리필용만 써요. 가위로 잘라서 원 통에 넣게 되어있는거 말고 리필용인데 뚜껑 달린거요.엘지 테크 드럼용 행사하는거 두개씩 묶음 포장된거 씁니다.\t\t\t3. ?'18.10.2 3:53 AM (121.167.xxx.209)시트지로 되어 있는 세제 쓰는데  편하고 좋은데요\t\t\t4. 액츠세제'18.10.2 8:35 PM (58.227.xxx.166)피죤에서 만든건데 가격도 합리적이고사용해본 제품중에 성분좋고 세탁효과 좋아요\t\t\t""]",82cook,https://www.82cook.com/entiz/read.php?bn=15&num=2645437&page=1&searchType=search&search1=1&keys=%EC%95%A1%EC%B2%B4%EC%84%B8%EC%A0%9C
3,액체세제,"
		작성일 : 2017-09-19 22:59:21		",제 목 :  오래된 액체세제 써도될까요?,액체세제(드럼용)가 오래되어 색이 진해졌더라고요 수분이 날아가 농축된건지.. 일단 세탁해보니 옷이 다 마른 후 세제가 덜헹궈진것처럼 끈끈하고 찝찝한 질감이 느껴지네요세제 양을 적게 해서 사용하면 괜찮을까요?	,"'액체', '세제', '드럼', '용', '색', '수분', '농축', '일단', '세탁', '옷', '후', '세제', '덜헹궈진것', '끈끈', '질감', '세제', '양', '사용'","[""1. ...'17.9.20 6:52 AM (121.167.xxx.212)제품 뒷면에 있는 제품회사 소비자 상담실에 문의해 보세요.양을 줄여서 써도 무방할것 같은데 샴푸. 치약. 세수 비누. 주방세제 다 유효 기간이 있더군요.샴푸는 청소용으로 치약은 버리고 세수 비누는 손 빨래 용으로 사용 해요.\t\t\t""]",82cook,https://www.82cook.com/entiz/read.php?bn=15&num=2423088&page=1&searchType=search&search1=1&keys=%EC%95%A1%EC%B2%B4%EC%84%B8%EC%A0%9C
4,액체세제,"
		작성일 : 2017-05-12 12:58:27		",제 목 :  가루세제 다 써써 액체세제 한번 구입할까 하는데요,마침 리큐인가? 4L짜리가 저렴하게 나온것 같길래 한번 사보려고 하는데요가루세제 (기존에 쓰던건 무궁화 브라이트 썼었어요 ㅎㅎㅎㅎㅎㅎ)비교해서 세정력이나 확 차이가 나나요?통돌이 세탁기 사용중이라서 꼭 액체 쓸 필요 있나 싶기도 한데.. 말이죠 ,"'마침', '리큐', '리가', '한번', '가루', '세제', '기존', '무궁화', '브', '라이트', '비교', '정력', '확', '차이', '나나', '통', '돌이', '세탁기', '사용', '꼭', '액체', '필요', '말'","[""1. 전'17.5.12 1:03 PM (116.127.xxx.143)한.입세제 써요.괜찮은거 같아요.지금 몇통째 이거만 쓰고 있어요무궁화에서 나온 액체세제는 별로더라구요(다른 때비누 같은건 무궁화것이 좋았구요)\t\t\t2. ........'17.5.12 1:24 PM (211.224.xxx.201)저도 액체로 바꾸니 확실히 세제 찌꺼기가 없어요저도 이거저거 쓰다 이번에 한입세제인가 분홍체크그림...괜찮은거같아요사실 전에 테크나 비트 주로썼는데 저는 세정력이 별로더라구요\t\t\t""]",82cook,https://www.82cook.com/entiz/read.php?bn=15&num=2347124&page=1&searchType=search&search1=1&keys=%EC%95%A1%EC%B2%B4%EC%84%B8%EC%A0%9C
5,액체세제,"
		작성일 : 2017-04-03 11:46:41		",제 목 :  2.0리터 액체세제 며칠만에 다 쓰시나요?,중고생 두 아이 포함 4인가족 2.0리터 액체 세제 한통 사면 며칠 쓰시나요?가루 세탁 세제만 사용하다 액체를 샀는데 2주만에?벌써 다 썼어요중간에 가족들 이불빨래하고 하긴했는데 제가 너무 많이 사용하는건지또 하나 사려니 벌써 다 썼나 싶고 잘 몰라서요 ,"'중고생', '두', '아이', '포함', '인', '가족', '리터', '액체', '세제', '통', '사면', '며칠', '가루', '세탁', '세제', '사용', '액체', '주', '벌써', '중간', '가족', '이불', '빨래', '제', '사용', '또', '하나', '사려', '벌써'","[""1. ...'17.4.3 11:47 AM (61.101.xxx.111)액상세제가 확실히 헤퍼요.저도 어느새 다썼나?? 싶게 빨리 닳더라구요...\t\t\t2. ..'17.4.3 11:50 AM (220.75.xxx.29)세제 정말 조금만 넣어도 빨래 잘 되는데요...저는 드럼 쓰는데 세제는 거들 뿐 드럼은 옛날 방망이로 두드려 빨던 것처럼 낙차 이용하는 거라 해서 애초부터 정말 찔끔 넣거든요. 저는 한통 사면 몇년 쓰는 듯해요.\t\t\t3. ...'17.4.3 11:54 AM (59.15.xxx.61)저는 뚜껑으로 하나씩만 넣어요.60미리 정도로...오래 써요.수질 환경도 생각해야지요.\t\t\t4. ㅇ'17.4.3 12:16 PM (218.235.xxx.98)세제 너무 많이 쓰세요.  어차피 세탁기 헹굼 가지고 다빼기도 어려울텐데 그러면 세제 찌꺼기 많이 많지 않나요.조금만 쓰셔도 때 빼는데에는 별차이 없어요.저는 정말 조금 쓰고 가끔 과탄산  같이 넣고 있어요\t\t\t5. 우와'17.4.3 12:49 PM (180.70.xxx.19)적어도 6개월은 쓰는것같은데요...\t\t\t""]",82cook,https://www.82cook.com/entiz/read.php?bn=15&num=2315664&page=1&searchType=search&search1=1&keys=%EC%95%A1%EC%B2%B4%EC%84%B8%EC%A0%9C
6,액체세제,"
		작성일 : 2017-03-21 21:46:42		",제 목 :  커클랜드 액체세제 뚜껑에 묻은 세제 어떻게하세요?,	 코스트코 울트라클린 액체세제 5.x리터짜리처음 사봤는데뚜껑에 세제 덜어서 세탁기 넣은 후뚜껑에 세제가 너무 많이 묻어있는데점성이 강해서 잘 씻기지도 않아요.혹시 이거 빨래 빨 때 같이 넣어버려도 될까요? ㅋ말랑하지 않으니 옷감 상하겠죠? ㅠㅠ다른 분들은 어떻게 사용하시는지 궁금합니다.	,"'코스트코', '울트라', '클린', '액체', '세제', '리터', '처음', '뚜껑', '세제', '세탁기', '후', '뚜껑', '세제', '점성', '혹시', '거', '빨래', '빨', '때', '요', '옷감', '상', '다른', '분', '사용'","[""1. ..'17.3.21 9:49 PM (124.111.xxx.201)저는 세탁조에 같이 넣어요.\t\t\t2. 야매'17.3.21 10:40 PM (116.40.xxx.48)호오 고맙습니다 ^^\t\t\t""]",82cook,https://www.82cook.com/entiz/read.php?bn=15&num=2307811&page=1&searchType=search&search1=1&keys=%EC%95%A1%EC%B2%B4%EC%84%B8%EC%A0%9C
7,액체세제,"
		작성일 : 2016-12-21 17:19:10		",제 목 :  요새 액체세제 뭐 쓰세요,액체 세제 뭐 쓰세요?액체세제는 리큐만 써 봤는데향 좋거나 세제력 우수하면 다른것 써 볼까 하는데리큐 진한겔과비트 오래오래 향기퍼실 어떤지요..괜찮은거 있으면 추천부탁드립니다그나저나 헌재는 뭐하겨...빨랑 탄핵시키지 않고... ,"'액체', '세제', '뭐', '액체', '세제', '리큐', '향', '세제', '큐', '겔', '비트', '오래오래', '향', '거', '추천', '헌재', '뭐', '겨', '빨', '탄핵'","[""1. ㅡㅡㅡㅡ'16.12.21 5:31 PM (123.109.xxx.24)생협 가루세제쓰다 쩐내나서 퍼실쓰는데 목아프네요... 에휴\t\t\t2. ...'16.12.21 5:41 PM (1.235.xxx.248)윗님 쓴거 다 쓰고 지금은 한입세제 액체쓰는데요 왠만하면 다 거기서 거기인듯. 특별나게 좋은거 없는듯 세제 찌꺼기 안남길려 액체를 쓸 뿐이고\t\t\t3. ..'16.12.21 5:43 PM (150.150.xxx.92)저도 한입세재 액체 써요.뚜껑으로 하나쓰면 되니 헤프지 않아요.\t\t\t4. 겨울'16.12.21 5:49 PM (110.70.xxx.106)저 비트 오래향기 써요. 점도가 낮은 편이라 쪼르륵 따라서 쓰니까 편해요. 뚜껑에 끈적이면서 남지도 않구요. 세척력도 괜찮네요.\t\t\t5. ㅡㅡㅡ'16.12.21 5:55 PM (123.109.xxx.24)생협세제 쓰고픈데 사춘기아들 냄새가 안가려져서 학교서 일이 있네요 에효.\t\t\t6. ..'16.12.21 6:02 PM (180.230.xxx.90)세탁실에 가면 어느 댁에서 퍼실 쓰는건지배수관 통해서 퍼실 냄새가 진동을 하는데 아주 머리가 다 아파요.\t\t\t7. ㅇㅇ'16.12.21 6:23 PM (211.117.xxx.29)테크 베이킹소다 구연산 세제요.때 잘지더라구요\t\t\t8. ..'16.12.21 6:33 PM (114.206.xxx.173)돌아돌아 리큐 진한 겔로 되돌아왔어요\t\t\t9. ...'16.12.21 7:05 PM (175.213.xxx.30)아름다운 세제. 좋던데요~\t\t\t10. ..'16.12.21 8:33 PM (183.96.xxx.180)미국 살다 와서 미국서 부터 쓰는 퍼실 쓰는데.. 왜 목이 아픈가요? 퍼실 독한가요? 잘 모르겠던데..\t\t\t""]",82cook,https://www.82cook.com/entiz/read.php?bn=15&num=2251513&page=1&searchType=search&search1=1&keys=%EC%95%A1%EC%B2%B4%EC%84%B8%EC%A0%9C
8,액체세제,"
		작성일 : 2016-02-06 17:50:36		",제 목 :  액체세제 쓸때요,	 세탁기 13킬로인데 고수위 꽉 차있을때몇리터 일까요 항상 액체세제 넣을때잘모르겠어요 그냥 뚜껑으로 두번넣는데 많은건지적은건지 아시는분 알려주세요	,"'세탁기', '킬로', '수위', '꽉', '때', '리터', '요', '항상', '액체', '세제', '때', '그냥', '뚜껑', '번', '지적', '아시', '분'","[""1. 긍정의힘'16.2.6 7:27 PM (1.231.xxx.145)세제마다 사용량이 다르겠지만 저는 저수위 60. 고수위 90밀리 넣게 되어있네요.  뚜껑 용량과  세제에 붙어있는 사용량 보고 투입하셔요~\t\t\t""]",82cook,https://www.82cook.com/entiz/read.php?bn=15&num=2065056&page=1&searchType=search&search1=1&keys=%EC%95%A1%EC%B2%B4%EC%84%B8%EC%A0%9C
9,액체세제,"
		작성일 : 2015-09-16 22:29:06		",제 목 :  드럼 세탁기용 액체세제 어떤게 좋은가요 ,"	 과탄산에 액체세제 넣고 빠는데 , 깨끗한거 같지않아서요?빨래비누로 손빨래 하면 하얀데 , 세탁기로 빨면 영 ,,, 시원칠 않아요? ","'과', '탄산', '액체', '세제', '빨래', '비누', '손', '빨래', '세탁기', '빨', '영', '시원', '칠'","[""1. 그러게요'15.9.16 10:34 PM (175.209.xxx.160)저는 아직까진 퍼실만 써봤는데 다른 분들 뭐 쓰나 함께 들어봐요 ㅎㅎㅎ\t\t\t2. 추가로'15.9.16 10:34 PM (175.209.xxx.160)저는 만족해요. 비교대상이 없어서 좀 글치만요. ㅎㅎ\t\t\t3. 세제보다는...'15.9.16 10:41 PM (50.191.xxx.246)과탄산나트륨아나 옥시크린을 옥시크린뚜껑으로 한두개 가량 넣고 아무 세제나 포장제에 써 있는 양의 절반가량만 넣고 온수만 넣고 세제가 섞일정도만 몇번 돌아가게한뒤 스위치 끄고 한시간, 누렇게 된 면직물은 하룻밤 정도 불렸다 일반코스로 돌려보세요.과탄산나트륨이나 옥시크린이 온수와 반응해서 발생된 산소가 빨래에 반응할 시간을 줘야 해요.\t\t\t4. 저는'15.9.16 11:21 PM (39.123.xxx.130)퍼실에.옥시크린 섞어 써요헹굼은 섬유유연제 쪼끔에 구연산가루 섞어쓰고요\t\t\t5. ..'15.9.17 12:49 AM (220.122.xxx.126)리큐 써요.옥시크린 형광증백제 있는거 아닌가요? 그말듣고 전에 쓰다가 안쓰는데 요즘꺼는 잘 모르겠네요\t\t\t""]",82cook,https://www.82cook.com/entiz/read.php?bn=15&num=1989658&page=1&searchType=search&search1=1&keys=%EC%95%A1%EC%B2%B4%EC%84%B8%EC%A0%9C
