,0
0,두 번째 구매합니다저번에는 통이 필요해서 통으로 하나 샀고이번에 리필 구매합니다진짜 실내건조했을 때물비린내가 현저히 줄었어요몇 달 동안 아예 안난 것은 아니었고한번정도 ? 났어요하지만 전에 쓰던 세제랑은 비교도 안될 만큼거의 물비린내 없다고 보시면 됩니다정말 괜찮다고 생각해서다시 구매합니다또 구매할 예정입니다
1,베란다 없는 좁은 원룸에서 실내건조만 하고 있습니다 그러니까 환기도 잘 안 되고 특히 장마철에 집안을 아무리 청소해도 꿉꿉한 냄새가 나서 미칠 노릇이였습니다세제는 그동안 퍼X 액x 리x 등을 써오다가 이걸로 정착했습니다세척력은 비교를 잘 못하겠는데이건 확실히 냄새가 안 납니다 세제 원액 자체에선 좀 쓴 향톡쏘는 독한향이 나는데 이거 때문에 빨래에서 꿉꿉한 냄새가 안 나는 거 같아요1년 가까이 이 세제에 정착해서 쓰고 있습니다 워낙 냄새에 민감한 편이라서 어지간하면 이것만 쓸 것 같네요원룸에서 실내건조한다면 꼭 사세요 두 번 사세요
2,와!예전에 진한 내이비색 통일때 써보고 너무 좋았던 기억에같은제품 아무리 찾아도 없기에 ㅠㅠ테크찾아볼 생각은 못하고 같은색통만 열심히 찾았어요ㅠ단종된 줄 알고 이것저것 써보다가이게 같은 제품이란걸 알고 얼른 주문했어요!!퍼실 기본 유니버셜 유칼립투스도 써보고 타이드 스포츠도 써봤는데이상하게 수건을 세탁해서 실내건조하면첫 세탁엔 못느끼다가 어느 순간부터 꿉꿉한 냄새가 나더라구요 ㅠ심지어 건조기 건조도 해봤습니다ㅠ다시 이제품 받자마자 1회 세탁했고 현재 냄새없습니다 !!ㅎ건조하고 맑아진 날씨탓인지 ㅎㅎ꾸준히 더 사용해보고 추가후기 올리겠습니다!!일단 가격면에서 반값이므로 더 만족!
3,맨날 쓰는 세제입니다똑 떨어져서 구매했어요4개라 넉넉히 오래 쓰고요리필이라서 재활용 버리기 편리해요유연제 안넣고 세탁해도냄새같은거 없어서 계석 제품만 사네요그리고 세탁조도 가끔 청소하구요세탁조 청소 안해서 냄새나는 경우도 많다니가끔 해주니 덜 나요얍!!!
4,운동을 자주해서 옷에 땀에 절어서 바로 세탁해도 땀내가 배기는 경우가 종종 있었는데 이번에 세제를 이 제품으로 바꾸면서 옷에서 쉰내가 단 한번도 안나서 너무 좋습니다굳이 많은 양의 세제를 넣지 않어도 깔끔하게 잘 세탁되고 냄새도 너무 튀지 않아서 만족합니다
5,22살 남자  자취중입니다 집에 빨래를 널어놓고 출근하고 퇴근하고 집에와서 빨래냄새를 자주 맡고하는데 바꾸기전엔 가루 세제 사용했는데 곰팡이 냄새 쉰네 휴이번에 이걸로 바꾸고나서 옷에서 좋은낸새가 오래가고 팡이팡이곰팡이 냄새가 사라진듯합니다 혼자사시는 남자분들 옷에서 쉰내 곰팡이 냄새 나는분들 구매해보시길 권유하고싶네요 가격도 혜자아닙니까 ? 좋네요
6,쿠폰적용제품이라구매했는데가격대비잘산것같아요저희집이주택3층이라배송기사님이많이힘드셨을테데그럼에도불구하고터진거없이잘갖다주셨어요인증샷도찍어주시고그날비도많이왔는데하나도안젖고던져놓고가지않아로켓배송시킬만하네요b ㅎㅎㅎ기능면에서는잘모르겠지만나쁘진않아요섬유유연제들이잘나오니까실내에널어도그닥안좋은냄새가나지않으니저렴한게포인트인듯요
7,실내 건조 할때 냄새 안난다고 구매 했는데 어찌 여태 쓰던 세제중에제일 똥내가 심하게 나서 실내에 건조를 하지를 못 하겠어요 피죤을 해도구린내가 나네요
8,유치원생 딸이이가 워낙 활발해서양말바닥이 항상 까매요다른세제들은 때가 안지워져서삶으니까 양말이 줄어들고따로 세탁하자니 손많이가고테크로 세탁하니찌든때는 확실히 지워지네요100는 아니지만 80정도
9,미세먼지때문에 실내건조할 경우가 많아서 구매했는데왜 나는 쉰내가 계속 나는것인지 상품평보고 구매한건데ㅜㅜ
