,0
0,안녕하세요세제 사용도 분말세제 액상세제 시트세제 모두 있지만 액상세제가 떨어져 가 주문합니다천연 베이킹소다가 든 액상세제 테크 한 번 써 보려구 구입합니다사용 해 보니딱히 깔끔하게 세탁이 된다 안된다 는 가름을 못하겠어요 따로 손빨래 해 보지는 않고 세탁기에만 사용해서 그런걸까요?그냥 제가 세제 사용하듯이 기분따라 골라가며편하게 사용하렵니다감사합니다
1,액체세제라 물에 더 잘녹고 세제 개량할때도 뚜껑에 담아서 사용하면 되기 때문에 편리해서 좋은거 같아요
2,세탁도 잘 되고 향도 좋습니다용기 옆면으로 남은 양도 확인할 수 있게 되어 있어서 좋아요
3,계속 쓰던건데 마트에서 들고 오기도 힘든데 빠른배송으로 편히 받을 수 있었어요
4,역시 세탁 세제는 테크죠 게다가 일반마트에는 할인해봤자 8천원 이던데ㅠㅠ너무너무 싸게 구매하였습니다 흡족! 이마트보다도 싸다던데요? 저희 어머니에게도 무겁게 장보지마시고 쿠팡 구매하길 추천해드렸어요! 테크써보신적 없으시다면 향은 은은하니 오래 남구요 제가 깐깐하게 따지는 편 왠만한 오염물은 다 지워져요!
5,오늘 오리털 패딩 여러벌을드라이를 맡겨도 소매 주머니목둘레가때가 안빠지고 번들거릴때가 잇어집에서 세탁을햇는데요주홍색 패딩 소매가 색이 변햇어요때는 아주 잘 빠지네요건조 중이라 사진을 못찍엇어요강추
6,가루세제만 썼었는데 액상이라 남는 세제없이 빨려 좋아요규격사용량이 나오긴했지만 간혹 세탁양이나 세탁기크기에따라 더 넣기도해요 그러면거품이 헹굼까지 남아 지금은 권장 사용량을 지키려는 중입니다빨래가 잘빨리는 느낌 이구요 베이킹소다 따로 안써좋구요향은 쎄지 않습니다
7,가격이 오프라인보다 저렴하기는 하나어머님 말씀이 꼭 마트가서 직접산것이 거품잘나고 때잘지워진다고 하시네요
8,예전에는 가루를 사용했는데 요즘엔 테크만 사용하게 되네요
9,다른거 쓰다 첨으로 교체했습니다드럼에 쓰기 좋습니다 무엇보다 용량이적당해서 주부가 손으로 들기 무겁지 않아서좋았습니다 향도 가격 비싼 세제 와 다를게없습니다
10,가루로할때는 가끔 가루도날리고했는대쓰기편하구요 세정력도 좋은거같고 뚜껑에 조절해서 넣을수있으니편해요 향도 좋아요
11,깨끗히 잘 빨리고 좋은데 제가 좀 헤프가 쓰나봐요 양이 좀 적은것 같아요ㅜㅜ그것빼면 세제 자체에서 나는 은은한 향도 좋고 흰빨래도 깨끗히 잘 빨려서 좋아요
12,늘 사용하던 세제라서 말이 필요없네요전에는 액체세제에 베이킹소다 함께 넣고 세탁했는데성분이 함유되어 있어 따로 넣지 않고 세탁합니다
13,냄새가 살짝 나지만 액체 세제는 다 나는 그정도예요 성능이 엄청 좋아서 진짜 깨끗하게 빨린다 ㅡ이건 아닌데 나름 만족할 정도네요
14,35회 헹굼에도 향이 남아서 세탁 후 섬유유연제담초 연꽃향 사용의 향보다 강합니다 그래서 아쉬워요
15,향도괜찮고저렴한게 좋아요 세척력을 논할만큼 찌든때가 없는관계로 패스ㅎ
16,어머니댁에구매해드렸어요ㅂㅌ만사용하셨던분이라 어떠실지잘모르겠네요
17,ㅎㅎㅎㅎ너무 좋아용 !!! 컵에 따라서 사용할만큼만 쓸수 잇어서 좋아요
18,세제 산거 까먹고 또샀어요전에샀던거 친구주고 이거쓰고있어요좋네요
19,와이셔츠나 양말등 찌든때에 항상 쓰는 제품이예요 넘 좋아요
20,항상 쓰는 제품이고 좋은데 이번엔 샜더라구요 배송 좀 신경써주세요
21,굿 근데 집앞마트가 조금쌌음음 행사해서그런건가
22,좋아요 세탁잘될거같아요 무게때문에 펌프형이였으면 좋겠지만
23,저렴하게 구입하고 다음날 바로 받아볼수있으니 최고입니다
24,마크에서 세일이라고 만원에 파는걸 봤어요 개이득!!
25,마트보다 저렴한거 같아요 뚜껑 용기도 있어서 좋네요
26,향도 강하지 않고 세척력도 좋아요 재구매 의사 있어요
27,배송 가성굿!!!아직 써보진 않았는데 좋을것 같아요
28,계속 재구매합니다좋아요적은 양으로도 세탁 잘 되요
29,사용전이지만 지인이 괜찮다 추천하여 구매하였음
30,잘쓰고 있습니다 세탁도 잘되는듯
31,저렴하게 구입했어요
32,양말 때도 잘지고 좋아요
33,저렴하게구입좋아요
34,세탁 잘 되네요
35,이거 은군 양많고 잘빨려요
36,좋아요 
37,Good!
38,너무좋아 가격두 저렴하구
39,조금만 써도 빨래가 잘되는것같아요
40,주변츠천으로ㅠ사용해보려구요
41,굿
42,재구매해서쓰고있어요
