,0
0,퍼실이 비싼 편인데 3만원이상 6000원 할인 쿠폰이 있어 2세트21리터 4개 25400원에 샀어요개당 가격이 6350원 꼴이라서 저럼하죠퍼실은 가격이 비싸어 할인할 때만 사요 ㅎㅎ세제도 기한이 오래되면 세탁력이 떨어 진다는 뉴스 기사를 본 이후로는싸다고 사서 쟁여 두지는 않게 되더라고요앗 그러고보니 그 뉴스는 개봉한 제품이긴 했네요ㅎㅎ21리터이고요 드럼세탁기 세제칸은 작아서 저는 보품보다 리필이 더 편하더라고요리필이라 계량 뚜껑은 없습니자 로켓배송박스에 담겨져 찌그러진데 없고 세는데 없이 안전힌게 배송받았어요세척력은 국내에서 파는 세제 중에서 저는 제일 괜찮은 것 같아요예전에 퍼실 쓸 땐 잘 못 느꼈었는데 다른 제품 쓰다 다시 사서 써보니 괜찮은것 같아요 ㅎㅎㅎ향은 개인적으로는 별로 좋아하는 향은 아닌데어차피 섬유유연제도 헹굼시 넣고또 건조기 돌릴 때 건조기 시트를 넣기 때문에 향은 그닥 상관없는것 같아요
1,라벤더 쓰다가 딥으로 나와 구매 해 보았어요역시 향기도 좋고 세정력도 더 좋은 것 같아요여름에는 정전기 방지 제품을 따로 사용 안해도좋은제품인듯 합니다리필제품이지만 전혀 불편하지 않고요거품이 많아 소량으로 사용하고 있어요
2,무겁고 귀찮은 세제는 늘 문앞까지 배달해주는 인터넷에서 주문합니다 ㅎ 무엇보다 마트보다 훨씬싸요  퍼실이 자극적이지않은 향이라고 해야하나 은은하니 너무좋아요  재조일도 얼마안된거라 안심입니다
3,예전에 어머니가 트럭에서 파는세제 싸다고 사주셨다가 한달정도 썼는데 가짜인거 알아서 옷 다버리고 빡쳐서 이것만 쓴다장단점 말해준다장점퍼실 라벤더와 퍼실 센서티브 이 두가지빼고 다른 세제는 다 나가있어신생아 아기옷은 센서티브 아이들 어른옷은 라벤더 이 두가지면 가정용 세탁세제는 끝난다 일본이 불화수소 안팔아도 별로 기별이 안오지만 독일에서 퍼실 안판다그러면 답이없다단점아직 못찾음이상
4,양도 많고 리필형이라 용기만있으면 경제적이고 향도 좋아요!! 저번에 드럼용 아닌 일반용 사서 그냥쓰긴했는데이번엔 확실히 좋네요
5,퍼실 딥클린 새로나온 제품이라 구매해봤는데요기존에 사용했던거보단 괜찮은거 같아요!!
6,처음 써봐요와우 향이 강하네요헹굼 후에도 지속적으로 은은하게 향이 나서괜찮아요세척력도 굿
7,세제에 섬유유연제가 섞인건지 모르겠는데 향이 호불호가 갈릴듯 싶네요ㅠ
8,처움에는 반신반의하고 주문을 했는데 생각보다 세척력이 좋고 향기가 나니 따로 헹굼제를 안해도 될거 같은 제품이예요장마철이라 행굼제를 함께 쓰지만 날이 좋은 날은 섬유유연제를 사용하지않아도 될 것 같아요
9,향도 무난하고 적당히 남아서 만족해요!!!평타이상의 세제입니당ㅋㅋㅋ
10,항상 쓰던 퍼실 저렴하게 구매하게 되어 정말 좋네요쿠팡에 처음으로 구매했는데 배송도 빠르고 너무 좋았어요퍼실은 항상 쓰던 상품이라 세탁세제로는 정말 좋은 제품이죠
11,퍼실 사용하는데 이번엔 라벤더향으로 구입해봄 ㅎㅎ 딥클린이라니 한번 사용해보려구요 ㅎㅎ 향은 좋네요 리필용으로 저렴히 잘산것 같아요
12,제품은 퍼실이라 당연히 좋습니다 배송은 쿠팡이라 단연 좋았고요 저렴하게 잘 산 것 같습니다 재구매의사 100입니다
13,계속 써오던 제품입니다현재까지 만족하며 사용하고 있다는 의미이기도 하구요뉴스에 나오기전까지 쭉 사용해 볼 생각입니다
14,향도좋고 세탁도 깨끗히 잘되네요 너무비싼게 선택하는데 장애가되지만요 가격을 좀 팍 팍 쎄일해서 줬쓰면 얼마나 좋겠어요
15,라벤더 향이긴 한데 석유 냄새가 많이 난다쉰내 같은거를 석유냄새가 커버 하는듯기대가 너무 컸나 
16,다좋은데 우리집 세탁기가 일반인데 드럼으로 잘못시켰어요ㅠㅠㅠ 그냥 쓰려구요 귀찮아요
17,항상 쓰는 제품요쿠팡에선 가격도 싸고하니 많이 사놓을 필요가 없드라구요향기도 은은하니 좋아요
18,이 향기가 제일 좋아서 또 구매했어요필요에 따라 세제 양조절만 잘 하면 때도 잘 없어지는듯 합니다
19,기냥 늘 쓰던것수건은 따로모아 세탁하는데 섬유유연제 안넣어도 뭔가 잔향이있음엄지척
20,블로그 후기 보고 구매했는데 탁월한 효과는 잘 모르겠으나 베스트상품이니 재구매하게 되네요
