,0
0,믿고쓰는 퍼실! 가격도 오프라인 구매시보다 싸고 배송도 빨라서 항상 쿠팡으로 구매해 사용하는 제품입니다괜히 섬유유연제다뭐다 추가로 사용해서 더 큰 비용을 지출하는 것보다 퍼실 하나만 있으면 확실한 세척력과 은은하게 남는 향기로운 잔향 두가지를 훨씬 싼 가격에 누리실 수 있습니다
1,안남길려다가남기는데요마트에서산것과 냄세가비교되요예전에도 그러더니역시나 물을타서색갈만내신건지빨래후 옷에서물냄세가심해요다시는쿠팡에서 세제구매안합니다
2,향은 피지보다 더 센 향인데 나쁘진 않아요 전반적으로 괜찮은 것 같네요
3,저희집은 맨날 이거써요 일반용세탁기거든요유난히 좋다 유난히 안좋다 이런건 잘 모르겠는데얼룩 없이 잘 빨아지긴 해요 ㅎㅎ알아보기귀찮아서 유명한거 쓰는데여기저기서 좋다는소리도 들었고 독일제라서 씁니다
4,항상 쓰던 제품이구요 향도 좋아서 섬유유연제를 사용안해도 되네요
5,선물로 받아 사용해 봤는데 향이랑 세척력이 좋아 구매해 봤어요 여전히 세척력에 엄지척해 지네요전 갠적으로 초록색향이 좋았어요
6,이번에 퍼실로 새로 주문하는건데 나쁘지 않아요예전에 대용량으로 쓴적 있는데 저렴하게 나오면 구매할 예정입니다
7,항상쓰는 퍼실예요 좋아요 쿠팡이 제일저렴한것같아요
8,여러 세제 써봤지만 가격도 만족스럽고 한두번 구매하다 보니 자연스레 주문할때는 이제품을 주문하게 되네요가루세제 보다는 액상세제를 선호하는 편이라 제가 쓰기엔 가격대비 만족스런 제품 이네요
9,세제가 거기서 거기 아닐까 생각하지만 확실히 잘 세탁됨이 느껴져요특히 검은 옷이나 흰옷은 차이가 크네요향도 적당하고 세척력도 좋아요!
10,늘 쓰는제품입니다세제향도 부담스럽지않고가격도 원만해서 항상재구매하고있어요배송속도 쨩 이구요
11,퍼실의 세탁력은 말이 필요없죠향도 좋고 죽은 옷도 살려내는거 같아요
12,보라색 쓰다 바꿨는데 괜찮아요향도 진하지 않고 거품도 잘 나고세탁도 잘 되는듯
13,이웃집 빨래가 너무나도 깨끗하기에 무슨 세제를 쓰냐고 물었더니 퍼실을 추천해 줘서 이렇게 사게 됐는데 정말 좋아요삶아 빤듯 뽀송뽀송 깨끗해요다소 가격이 비싸서 부담스러운 면도 있다고 생각했는데 다른 세제의 2분의 1만 써도 되니 굉장히 좋네요
14,퍼실제품 처음 써보는데 마음에 드네요항상 빨래하고나면 왜 우리집 빨래는 빨래냄새가 않날까 했었는데 퍼실쓰고 알았읍니다 빨래세재가 문제였구나 ㅋㅋㅋ잘쓰고있어요
15,별로 쓸말이 없음 일단 세제냄새가 같이산 섬유유연제랑 같은향이 남그래서 싫다
16,세탁세제로 퍼실은 뭐 두말하면 잔소리죠 항상 쟁여놓고 씁니다
17,냄새좋고잘빨리는지는 잘 모르겠어요요즘 찌든때 잘 없잖아요
18,믿고쓰는 퍼실할인혜택으로 구매해서 더더욱 기분이 좋습니다
19,항상 쓰는제품이예요애기옷도 퍼실로 세탁하는데 괜찮네요
20,음식뭍은옷 애벌안하고 세탁기 돌렸는데 지워졌네요 좋네요
21,가격대비 굿세제가 남아있는기분이라 그게 좀 아쉬워요
22,쓰시는분들 잘아시죠퍼실 쓰면 다른거 못써요
23,늘 쓰던 세제라 떨어지기 전에 구입했습니다 
24,두말이 필요없는듯퍼실은 항상 옳아요
25,아직 사용안했지만 좋을것같네요
26,잘 쓰겠습니다
27,게속쓰턴거나 안심하고 구매햏어용
28,항상쓰는 제품입니닷!
29,세탁과 향까지 모두 만족
30,좋아요
31,진짜 제일 싼듯굿굿
32,아주굿 냄새굿 액체세제 퍼즐반다이크
33,늘 쓰는 퍼실이에요세정력 및 향이 좋습니다
34,좋아요
35,때가 잘빠지네요
36,늘 써는 재품이라 좋아요
37,늘쓰던거 싸게 잘 샀어요
38,향도 좋구 얼룩도 잘 지워지내요
39,좋아요
40,좋아요
41,좋아요
42,항상 믿고쓰는 제품입니다
43,양이 어마어마하게 많아요!!
44,매번쓰던것 좋아요
45,늘 쓰던 제품이고 역시 퍼실이 잘 지워지네요
46,세재는 역쉬저렴하게 잘 샀어요
47,저렴하게잘샀어요
48,쓰기 좋고 가격도 저렴해서 굿
49,향도 대박 세탁력도 짱 좋아요 
50,늘 쓰든제품이에요 담에 또구매할게요
51,향이 좋네요
52,포장이 꼼꼼해요 상자에 두개씩 넣어져 있었어요 최저가로 산것같아 뿌듯해요 담에도 구매할게요
53,문앞배송을 원햇는데 경비실에 두고갓네요ㅠㅠ 인터폰 벨소리도 없엇는데 진입불가라고 문자만 달랑
54,항상 쓰는 세제라서 믿고 구입했습니다어제 똑 떨어져서 로켓배송으로 주문하니 딱 좋네요
55,퍼실에 대해서는 설명 안드려도 아실테고 좋은 물건 착한가격에 잘받았습니다 감사합니다
56,포장도 괜찮고 좋았습니다터지지 않게 배송 잘 되었어요
57,믿고쓰는 세제입니다빠른배송짱짱
58,배송빠르고 좋아요
59,배송빠르게 잘 왔어용 ㅎㅎ 잘 쓰겠습니다
60,다음날 바로 받았습니다
61,배송빠르고좋습니다호호홓
62,상품 잘 받았아요!
63, 말해뭐해 퍼실인뎅 타 세탁세제에 비하면 가격적으로사악하기 그지없는 퍼실초록색 퍼실이 퍼실시리즈 중에 제일 세탁력은 좋다냄새도 싱그러움 따로 섬유유연제 없어도될만큼 괜찮음하지만 땀냄새 많이 베어있는건 건조후에도땀냄새가 나더라 완벽하게 향을 덮어주진 못하는듯일반세제지만 액체세제라서 나는드럼에도 사용하는데세탁후 빨래가 뽀득한 느낌이 있다 유연제 안썼을경우에!쓰던거 계속 쓰는 습관때문인지라계속 쓰긴하지만 다른거썼다가도 맘에 안들면다시 퍼실사고 사실 맨날이게반복가격이 낮아지면 참 좋겠다ㅠㅠ세제값 무시못하는데
64,향도 좋고 거품도 많이나고 항상 퍼실 파워젤만 써요
65,홈쇼핑에서도 많이 파는데 너무 대용량이라 쿠팡에서 2개짜리 득템했어요퍼실세제 쓴지 2년쯤됐는데 다른걸로 못바꾸겠네요빨래에서 냄새도 안나고 향이 너무 강하지도 않고 좋아요
66,평소에 본가에서 쓰던거였는데이번에 신혼집 물품 구매하면서 주문해봤어요 ㅎㅎ통에 담아놓고 쓰려구요 잘 쓸께요 
67,퍼실진짜좋은데좋은물건할인까지받아서구입해서기분좋네요마니파셔요
68,여름이 되니 빨래양도 많아져서추가 구매했습니다제품 좋아요
69,몇년동안 퍼실만 쓰고있어요여러가지 향을 써보았지만 그린색이 가장 무난하게 쓸수있어서 좋아요남자아이들 키우는데 때도 잘빠지고 아주 만족해요
70,쿠폰할인행사해서 완전싸게 샀어요평소에 비싸서 국산 저렴한 세제만 사서썼었는데사실 퍼실은 향은 늘 잊지 않고 있었죠ㅎㅎ향이 빨래 후에도 참 오래 가거든요싸게사서 완전 기분좋음 ㅎ
71,배송은 하루도 안되서 왔어요 엄청난 총알배송!!저희 집은 쿠팡으로 퍼셀을 계속 사서 쓰고 있어요보라색이랑 연두색 번갈아가면서 구매하고 있고퍼셀이 아주 쌔하얗게 세탁이 된다고는 할 수 없지만아주 무난하게 사용할 수 있는 세탁 세제인 것 같아요!대형마트에가도 쿠팡처럼 이 가격에 구매 못하는 것 같아요b
72,가격이 넘 싸길래 주문했는데 드럼용아니고 일반얬음 잘보고주문하세요아까워서 그냥 드럼에 쓰고있음
73,퍼실을 사용한지 3년이 되가는데여전히 세탁후 얼룩제거는 확실히 좋네용섬유유연제를 사용하지 않아도 깨끗한 향기도 나고 좋아요
74,향기가 좋네요!세척력은 세탁세제 다 비슷비슷한거 같아서체감이 잘 안되는데 옷에서 쌍큼한 향기가 나니깐좋네요
75,늘 사용하는 제품이라 구매했는데 역시 배송도 빠르고 좋아요향도 좋고 빨래도 잘 되는 것 같아 퍼실을 늘 애용합니다
76,아으 우리집은 일반세탁기인데 망 ㅠㅜ 그냥 써야죠 뭐
77,두말할필요없는 퍼실입니다때도잘빠지고 향이 은은해서 굿
78,처음 사용해보는데 조아용거품도 많이나는것같고ㅎ
79,퍼실은 늘 만족하며 쓰는데 딥클린도 기대해보겠 습니다
80,향이 바꼈네요 더 좋아요 중독되는건 왜일까요 ㅋㅋ
81,마트에선 하나에 이값인데 두개에 정말 싸게 샀어요 냄새도 좋고 항상 쓰던거에요근데 똑같은 제품에 드럼용인데 마트용량은 2L고 여기는 21L네요 ㅎㅎㅎ
