,0
0,이것저것 많이 써봤는데요가성비좋고 향도 맘에 들어서 이번에 정착했답니다건조기 사용하면 향기날아가는 경우도 많은데 이 아이는 소량사용해도 빨래가 부들부들하고 향기도 은은하게 솔솔나요다섯식구 애들두 크고 빨래양도 많다보니 세제사용량도 꽤 많은데요오랫동안 잘 쓸 수 있을 것 같아서 마음이 든든합니다
1,통이 조금더 싸긴 한데 리필형이 보관은 자리 차지 많지 않게 편하고 버릴때도 좋아서 무엇보다 향이 좋아요 세탁후 전 늘 샤프란 써요 다른 향들보다 보라색이 젤 나은것 같고요 다우니 받은거 써봤는데 향이 강해서 머리가 지끈 내겐 샤프란이 좋네요갠적으론 티슈형 샤프란이 좀 더 좋긴 하지만요ㅋㅋㅋ
2,다른 브랜드제품을 사용하다가 김희선씨가 샤프란을 광고하길래함 주문해봤다섬유유연제의 선택기준은 정전기랑 향에 중점을 두고 있어서딱히 제품을 정해두고 사용하지는 않는데샤프란은 처음 사용해보는거 같다한번 사용해봤는데 정전기발생은 아직 세탁한 옷을 입어보지않아서 뭐라 말할 수 없는데 향은 진하지도 과하지도 않고 세탁후에도은은하게 남아있어 일단 좋다
3,향기가 너무 좋아서 몇번째 구매하는지 모르겠어요
4,진작 시어버터 쓸걸 샤프란만 사용하는데시어버터는 처음이에요다른 샤프란 보다 훨씬 부드러워집니다 추천
5,늘 쓰던게 로켓배송에 없어 새로운 향으로 주문해보았어요향이 은은한건 아닌데 저는 오히려 나은 것 같아요마르면서 서서히 사라지긴 하는데 그래도 적당히 향기로워요여름이라 빨래에서 꿉꿉한 냄새 나는 것보단 낫더라구요재구매 의사도 있습니다
6,은은한 향이 좋아서 지속적으로 재주문하면서 쓰고있어요 배송도 넘 빠르고요믿을 수 있는 제품이예요
7,항상 주문시키던 샤프란 다른 상품이 매진이라 구매해봤어요 엄마가 생활용품 떨어질 때면 쿠팡에서 주문시키라고 하네요 ! 갯수에 비해 저렴한 가격에 빠른 배송에 만족해하셔서 몇 년 내내 꾸준히 이용 중입니다
8,뽀송뽀송 완벽 배송감사합니다이 향기 좋아요지속적으로 사용할 예정
9,통으로 된거 계속 쓰다가 리필형이 사용하기 편할거 같아서이번에 바꿔봤는데 이상해요ㅠ아무리 들이부어도 향이 약해요ㅠ물 탄건지 짝퉁인지 내꺼만 이런건지 속상하네요ㅠ12개나 주문했는데 다음에는 다시 통으로 된거 사야겠어요
10,다우니쓰다가 한번 바꿔봤는데 세탁후 향기가 약해서 좀 아쉽네요 더 진했으면계속쓸텐데 다쓰면 다우니로 다시구매하든지 다른제품 모험 해봐야겠어요솔직후기에 도움되시길 바라면서
11,생각보다 향이 좋네요다우 3년넘게쓰다 유연제가 떨어져서집앞마트에서 샤프란 하나 샀는데요집앞보다도 저렴해서 여기서 묶음으로 샀네요향도좋고 다른유연제보다 인조향이 덜 한것같아요유연제 이름은 거창한데 가격도 가끔 물비린내같거나 너무독하거나 했는데이건 계속 은은해요참 신기하게 샤프란쓰고나서부터 특유의 빨래꾼내?가 없어졌어요진짜신기해요 ㅋㅋ 계속 쓸거에요
