단어,단어빈도수
섬유유연제,5379
옷,4678
향,4652
성분,4649
세탁기,3807
피부,3017
추천,2872
생각,2586
우리,2411
일반,2227
자연,2225
깨끗,2193
물,2105
유아,1945
양,1915
천연,1912
함유,1886
사과,1793
얼룩,1790
안심,1750
고농축,1740
세척력,1457
알로에,1457
제거,1429
드럼,1406
추출물,1387
거품,1375
가능,1294
은은,1280
선물,1272
걱정,1268
제주,1216
투명,1196
향기,1185
아이,1162
일,1160
유래,1147
안전,1146
용량,1121
브랜드,1113
세척,1112
자극,1096
원료,1091
뚜껑,1082
프리미엄,1028
주의,1022
과일,1006
깔끔,984
가루,982
활용,971
집,968
대용량,964
녹차,935
설거지,927
효과,926
하나,920
확인,908
계면활성제,904
식물성,894
세트,891
유연,890
마음,889
상주,875
베이비,864
두,857
종,854
가족,854
기분,854
아이들,853
판매,852
강력,850
이,849
냄새,824
들이,812
오늘,811
개,808
데,807
만족,806
사용량,804
부분,801
경우,798
선택,791
엄마,781
인증,779
속옷,775
완료,770
만,768
애경,765
테스트,763
계량컵,741
중,740
필요,734
제공,733
용,723
따뜻,719
해도,717
손빨래,693
구입,691
발효,690
손,676
오염,676
용기,669
포장,664
편안,663
하시,651
라,650
색소,631
구매,628
방법,627
세정력,615
토루,615
거,608
이번,603
체험,600
지,597
게시,596
세탁물,592
통,588
농산물,584
가격,583
님,581
땅,581
미세먼지,581
보성녹차,579
이불,579
시간,576
기부,574
수익금,566
어른,563
주부,563
년,558
기준,557
이유,557
퍼실,557
카페,555
공개,554
땀,554
비트,551
형,551
듯,550
이용,548
배송,542
위,538
배,533
남,525
인산염,525
아토,524
이벤트,524
화장품,524
세정,516
속,511
비,510
이상,501
천,494
하루,494
잔여물,489
루트,487
방지,487
아빠,487
위해,483
항균,482
표백제,479
줄,478
말,476
글,474
업체,470
젖병,469
날,468
규정,464
시작,462
진짜,460
몇,460
중성세제,459
사진,458
신생아,453
소프트,452
소중,449
고민,447
눈,447
인공,447
효소,446
감사,438
공지,436
소량,436
전성,436
안,435
청소,435
민감,432
산,429
무엇,426
전용,423
겸용,422
내,422
뭐,416
사실,409
사람,408
도움,402
필독,402
무첨가,397
피죤,395
