,Keyword,Date,Title,Contents,Words,Comments,Source,URL
0,퍼실 향,2018.12.26. 06:24,토루토루 아기세제 구매사용후기에요.,"22개월동안 사용한 후기에요~ 아기세제로 엄청 검색하다 불만제로(?)인가 그 프로그램에서 토루토루가 천연세제라고 방송하더라구요.? 아기제품에 장난치는 제품들 많은데 .. 그나마 기사보고 조금 믿음이 생겨 출산용품으로 샀던게 지금까지 쓰고 있어요~ 한통사면 2.4l인데 진짜오래써요 ㅋㅋㅋㅋ? 희미한 기억으로 짐까지 4통? 정도 쓴거 같네요.세탁기는 한대로 사용하고 어른빨래, 아기빨래 나눠서 세탁하고 있는데 어른꺼는 퍼실로 아기꺼는 토루토루로 ^^과일같은 얼룩같은거 솔직히 안지워져요... 이건 퍼실로도 ..불가능한걸 알기에... 세탁전 과탄산수소에 담궈놨다가 세탁기돌리면 아주깨끗해용.?그 밖에 얼룩은 짐까지 불만없을정도로 세척력도 좋고 저희아기가 약간 아토피끼가 있는데 발진도 안일어나고 순한거 같아만족해요.? 어른꺼와 합쳐빠는날은 ... 퍼실을 버리고 토루토루 같이 세탁할꺼같네요.ㅎㅎㅎ저는 향이 진한걸 안좋아해서 세제만 쓰고 린스는 안쓰는데 세탁하고 건조기돌리면 향이 아주 연하게 남아있어서 더 좋은거같아요.^^?★ 잠깐! 게시글?작성 전, 필독 공지! ★- 카페규정 : http://cafe.naver.com/imsanbu/28123090?- 게시판별 운영 정책 : http://cafe.naver.com/imsanbu/35756864?","'개', '월동', '안', '사용', '후기', '아기', '제로', '검색', '불만제로', '그', '프로그램', '토루토루', '세제', '방송', '아기', '제품', '장난', '제품', '기사', '보고', '조금', '믿음', '출산', '용품', '지금', '통', '사면', '진짜', '기억', '짐', '통', '정도', '세탁기', '대로', '사용', '어른', '빨래', '아기', '빨래', '세탁', '어른', '퍼실', '아기', '토루토루', '과일', '얼룩', '이건', '퍼실로', '걸', '세탁', '전', '과', '탄산', '수소', '세탁기', '아주', '그', '얼룩', '짐', '불만', '정도', '세척', '아기', '약간', '아토피', '끼', '발진', '어른', '날', '퍼실', '토루토루', '세탁', '저', '향', '걸', '세제', '린스', '세탁', '건조기', '향', '아주', '더', '거', '잠깐', '게시', '글', '작성', '전', '필독', '공지', '카페', '규정', '게시', '판별', '운영', '정책'",,네이버 카페,https://cafe.naver.com/ArticleRead.nhn?clubid=10094499&page=2&inCafeSearch=true&searchBy=0&query=%C6%DB%BD%C7+%C7%E2&includeAll=&exclude=&include=&exact=&searchdate=2014-02-182019-08-17&media=0&sortBy=date&articleid=42686042&referrerAllArticles=true
1,퍼실 향,2018.12.02. 01:06,세탁세제 추천좀해주세요!!얼룩 잘지는거,항상 퍼실썼는대 향은좋은대 얼룩이 너무 그대로라 스트레스받아여...커피나 신랑 땀자국같은거 정말 안지더라구요 아무리 과탄산소다로 빨아도안되는대 락스가 답인가요...흰옷도 안지는대 다른옷들도 마찬가지라 세탁세제 얼룩 잘지는거 추천좀 해주세요!!천연이든 친환경 뭐이런건 상관없어요!!향성애자이긴한대...,"'항상', '퍼실', '향', '얼룩', '그대로', '스트레스', '커피', '신랑', '땀', '자국', '정말', '과', '산소', '로', '락스', '답', '옷', '옷', '마찬가지', '세탁', '세제', '얼룩', '추천', '좀', '천연', '친환경', '뭐', '향', '성애자'","'저는 오투액션인가; 결혼하고 집들이 때 세제 선물이 엄청 들어와서 지금까지 소진 중이거든요. 이거랑 베이킹소다 과탄산 섞어서 빨아요. 혹시 드럼세탁기이신가요? 저희집은 통돌이인데 진짜 잘 빨려요. 땀자국이나 커피자국은 그냥 빨고 대신 빨갛게 튀고 이런거는 그 부분만 애벌로 빨고 세탁기 돌립니다.', '그럼 물 온도는 어떻게 하시나요?? 베이킹소다랑 과탄산은 녹여서 넣으시나용?', '보통 따뜻한 물로 빨고 과탄산이랑 베이킹소다는 세제 넣는 곳에 그냥 넣어서 사용하고 있어요^^', '아하 그렇군요!!! 감사합니다^-^* 땀자국 커피자국 이런거 잘 안지던데ㅜ꿀팁입니당ㅎㅎ'",네이버 카페,https://cafe.naver.com/ArticleRead.nhn?clubid=10094499&page=2&inCafeSearch=true&searchBy=0&query=%C6%DB%BD%C7+%C7%E2&includeAll=&exclude=&include=&exact=&searchdate=2014-02-182019-08-17&media=0&sortBy=date&articleid=42374559&referrerAllArticles=true
2,퍼실 향,2018.11.22. 21:20,세탁세제 뭐가 좋아요?,퍼실 썻는데 향이 너무 강해서 전 힘들더라구요향 강하지 않는게 뭐가 있을까요?드럼용으로요,"'퍼실', '썻는데', '향', '전', '향', '뭐', '드럼', '용', '요'","'퍼실 센서티브쓰는데 향 연해요~  안써보셨으몬 추천해요 ㅎㅎ 그거말고는 오클린 좋아요', '전 테크 시트세제쓰는데 편하고좋아요 한장씩 휙 넣으면 되고 액체세제만큼 잘녹아요향도 연하구오', '런드레스 쓰는데 세척력 괜찮고 향 은은해서 좋아요 ㅎㅎㅎㅎ'",네이버 카페,https://cafe.naver.com/ArticleRead.nhn?clubid=10094499&page=2&inCafeSearch=true&searchBy=0&query=%C6%DB%BD%C7+%C7%E2&includeAll=&exclude=&include=&exact=&searchdate=2014-02-182019-08-17&media=0&sortBy=date&articleid=42255439&referrerAllArticles=true
3,퍼실 향,2018.10.24. 19:13,세탁세제 추천해주세요,"지금 퍼실이랑 다우니쓰는데요. 세탁물 향이 넘 별루네요.. ㅠㅠ 세탁기 바꾼지 일년도 안됐구 안쪽 청소도 자주 하는지라.. 세탁기땜 냄새나는건 아닐거같구.. 세제문제같은데.. 섬유유연제거의 다써가서 다른거 사볼까싶어서요. 어떤거 많이들 쓰시는지.. 궁금해요.. ^^;; ★ 잠깐! 게시글?작성 전, 필독 공지! ★- 카페규정 : http://cafe.naver.com/imsanbu/28123090?- 게시판별 운영 정책 : http://cafe.naver.com/imsanbu/35756864","'지금', '퍼실', '다우니', '세탁물', '향', '루', '세탁기', '년도', '안쪽', '청소', '자주', '세탁기', '땜', '냄새', '문제', '섬유', '유연제', '거의', '잠깐', '게시', '글', '작성', '전', '필독', '공지', '카페', '규정', '게시', '판별', '운영', '정책'","'다우니 보라색 향 좋아요...! 아기세제는 블랑 시그니처 쓰는데 요것도 좋구요. 다우니 다쓰면 블랑으로 섬유유연제 바꿔보려구요', '아. 보라색... 알겠어요 ㅋㅋ', '삭제된 댓글입니다.', '평소에 원래 열어둬요.. ㅠㅠ 향을 .. 바꿔바야할까요 ㅋㅋ', '넬리요', '네. 검색들어가요 ㅋ', '삭제된 댓글입니다.', '건 또 첨듣는 제품이네요. 검색해볼게요 ^^'",네이버 카페,https://cafe.naver.com/ArticleRead.nhn?clubid=10094499&page=2&inCafeSearch=true&searchBy=0&query=%C6%DB%BD%C7+%C7%E2&includeAll=&exclude=&include=&exact=&searchdate=2014-02-182019-08-17&media=0&sortBy=date&articleid=41857484&referrerAllArticles=true
4,퍼실 향,2018.10.23. 17:53,아기빨래 질문들~^^,"출산앞둔 막달 산모입니다^^아기빨래를 시작하려는데 궁금증이 생겨서요.세제는 블랑101 무향, 유연제는 블랑101 Blush 사놨구요세탁기는 드럼이에요 (트윈이아니고 아기세탁기 따로 없어요 ㅠ)1 출산가방쌀때 조리원퇴소시 입을 산모복도 아기세제로 빨아야 하나요?2 아기랑 집에온후에도 아빠엄마옷 빨래 아기세제로 빨아야 하나요?아기세제 비싸기도 하고굳이 그렇게까지 해야하나 싶은데..아기빨래만 아기세제(블랑101무향) 하고어른빨래는 기존세제로 하면 안좋은건가요?(기존세제 퍼실써요)3 아기세제는 블랑101 무향, 유연제는 블랑101 Blush향 구매했는데~아기빨래세 세제만 써도 되나요? 유연제까지 매번 사용해야하나요?손수건에도 유연제 쓰고요?!?!유연제를 어디까지 사용해야하는지?!4 밤부소재 손수건은 세탁과 자연건조를 3번씩 해야하나요?그렇다면 이유는?그외에도 3번씩 빨아야 할 빨래감은 무엇인가요? 5 아기세제엔 삶기기능같은게 포함되어있어서어른빨래도 아기세제로 하면 옷이 금방 헤지거나 색바램 올수도 있다던데(베이비페어 에티튜드 판매자님말)혹시 이런말은 못 들어보셨는지요?6 세탁망은 꼭 해야할까요?세탁망 사용하는 이유가 뭔가요?!무형광세탁망 따로 사진않았구요기존 어른세탁망 오래써서 그거 쓰려해요. 괜찮겠지요?","'출산', '막달', '산모', '아기', '빨래', '시작', '궁금증', '세제', '블', '무향', '유연제', '블', '세탁기', '드럼', '트윈', '아기', '세탁기', '출산', '가방', '쌀때', '조리', '퇴', '소시', '입', '산모', '복도', '아기', '제로', '하나요', '아기', '집', '후', '아빠', '엄마', '옷', '빨래', '아기', '제로', '하나요', '아기', '세제', '굳이', '아기', '빨래', '아기', '세제', '블', '무향', '어른', '빨래', '기존', '제로', '건가', '기존', '세제', '퍼실써', '아기', '세제', '블', '무향', '유연제', '블', '향', '구매', '아기', '빨래', '세', '세제', '유연제', '매번', '사용', '손수건', '유연제', '유연제', '어디', '사용', '밤부', '소재', '손수건', '세탁', '자연', '건조', '번', '이유', '외', '번', '빨래', '무엇', '아기', '세제', '기능', '포함', '어른', '빨래', '아기', '제로', '옷', '금방', '헤지', '거나', '색바램', '수도', '베이비', '페어', '에티튜드', '판매', '자', '말', '혹시', '말', '못', '세탁', '망은', '꼭', '요', '세탁', '망', '사용', '이유', '뭔가', '무형', '광', '세탁', '망', '사진', '기존', '어른', '세탁', '망', '그거', '해'","'앗!꼼꼼하시네요ㅎㅎ전 아기껀 모두 빨래망에 아기세제,유연제로 세탁하고  어른껀 그냥 어른용 세제사용했어요.글구 가장 자주세탁하는게 손수건일거 같은데여 아기빨래비누 화장실에 두고 손수건은 그때그때 빨았었어.^^', '이건 사람들 마다 다른거 같아여.. 저도 세탁기 따로 안사고..애기꺼 애기세제로 따로,어른꺼 기존 세제 따로 써여 . 근데 애기껀 빨래양이 매일매일은 적어서 손빨래할때가 더 마나여', 'ㅎㅎ 저도 아기세탁기 안샀어요 어른옷은 일단 어른빨래로 하고 아기것만 아기세제 돌리고있어요 나중에 아기낳고 집에오면 아기세제로 다 쓸까 싶은데 어른세제가 넘많네요 ㅋㅋㅋㅋㅋ 밤부손수건 그냥 3번 안빨고 한번빨때 헹굼 여러번 추가했어용 ^^', '세탁망은 전 혹시나해서 준비했어요. 애기들이 형광물질이 안좋다고 하덜라구요.. 모윰꺼 샀는데 거기 무형광이라 좋은것 같아요 ㅎㅎ 크기도 다양해서 그냥 전 애기꺼 하고 우리 부부꺼도 같이 써버릴라구요 @_ @'",네이버 카페,https://cafe.naver.com/ArticleRead.nhn?clubid=10094499&page=2&inCafeSearch=true&searchBy=0&query=%C6%DB%BD%C7+%C7%E2&includeAll=&exclude=&include=&exact=&searchdate=2014-02-182019-08-17&media=0&sortBy=date&articleid=41841113&referrerAllArticles=true
5,퍼실 향,2018.09.16. 11:21,퍼실 향 추천좀 부탁드려요,현재는 라벤더 쓰고있는데요오래썼더니 다른걸 써보고싶어서요초록색도 괜찮을거같고 퓨어프래쉬?? 이것도 괜찮은듯싶은데 라벤더보다 향 좋은제품이 뭘까요?,"'현재', '라벤더', '걸', '초록색', '퓨어', '프래', '쉬', '것', '듯', '라벤더', '향', '제품', '뭘'","'하이진젤은 시원한향이고  퍼실센서티브는 은은하구요.. 프리미엄고농축파워젤은 엄청 잘 빨려요.. 근데 은은한 꽃향기는 라번데 만한게 없죠~~ 전 꽃향기보다 시원한 향을 좋아해서~', '향은 라벤더가 젤 낫지않나요?? 전 진드기 걱정되서 퍼실 유칼리툽스사용해요~그것두 괜찮아요ㅋ', '맘님 퍼실 라벤더랑 파워젤 차이점 여쭤볼수있을까요 강력함 세척을 원하는데용'",네이버 카페,https://cafe.naver.com/ArticleRead.nhn?clubid=10094499&page=2&inCafeSearch=true&searchBy=0&query=%C6%DB%BD%C7+%C7%E2&includeAll=&exclude=&include=&exact=&searchdate=2014-02-182019-08-17&media=0&sortBy=date&articleid=41336438&referrerAllArticles=true
6,퍼실 향,2018.07.31. 11:06,퍼실컴플리트솔루션 세제 . 향 강한가요?,섬유세제퍼실어떤가요예전에 아기용퍼실센서티브인가 구매했는데향이너무독해서 사용못했거든요ㅜㅜ퍼실도향이강한가요~~세정력은진짜좋다고들었는데 궁금하네ㅣ요,"'섬유', '세제', '퍼실', '가요', '예전', '아기', '센서티브', '구매', '향', '사용', '퍼실', '향', '정력', '진짜', '요'",,네이버 카페,https://cafe.naver.com/ArticleRead.nhn?clubid=10094499&page=2&inCafeSearch=true&searchBy=0&query=%C6%DB%BD%C7+%C7%E2&includeAll=&exclude=&include=&exact=&searchdate=2014-02-182019-08-17&media=0&sortBy=date&articleid=40713502&referrerAllArticles=true
7,퍼실 향,2018.07.17. 12:55,아기세제 뭐쓰세요?^^,피지 센서티브 썼었는데 지금 시킬라고 보니깐 단종인가봐요ㅜ넬리도 써봤고 블랑도 써봤는데 블랑은 향이 제스타일 아니라..액체세제로 좀 추천해주세요^^ 퍼실 센서티브도 괜찮을런지,"'피지', '센서티브', '지금', '보', '종인', '넬리', '블랑', '블', '향', '스타일', '액체', '제로', '좀', '추천', '퍼실', '센서티브', '런'","'토루토루 써요 가성비 좋드라구요 향은 무향이에요', '토루토루 검색해볼게요 무향이젤좋죠^^'",네이버 카페,https://cafe.naver.com/ArticleRead.nhn?clubid=10094499&page=2&inCafeSearch=true&searchBy=0&query=%C6%DB%BD%C7+%C7%E2&includeAll=&exclude=&include=&exact=&searchdate=2014-02-182019-08-17&media=0&sortBy=date&articleid=40536661&referrerAllArticles=true
8,퍼실 향,2018.07.17. 07:28,4살 아이 빨래 어른 거랑 같이하시나요?,4살 52개월된 아이 엄마에요세탁 세제를 사야 하는데 급! 고민이 되어 올려봅니다지금까지는 쭉 애기 빨래만 따로 모아 에티튜트로 빨아왔어요좀 비싼 건 손빨래 해왔구요.근데 이게 이제 그냥 어른 거랑 같이 해도 되겠다 싶기도 하고 그러네요....퍼실 센서티브나 all 센서티브로 다같이 빨아도 되려나요?그렇게 하시는 분 계신가요?언제까지 애 빨래 따로 돌려야 하나..(저희는 런드리 공용이라 ㅜㅜ) 고민하며 올려봅니다향 괜찮고 세탁도 잘 되는 세제와 유연제도 추천해주세요^^ ,"'살', '개월', '아이', '엄마', '세탁', '세제', '급', '고민', '지금', '쭉', '애기', '빨래', '에티튜트', '빨', '좀', '건', '손', '빨래', '이', '이제', '그냥', '어른', '거', '해도', '퍼실', '센서티브', '센서티브', '다', '요', '분', '언제', '애', '빨래', '하나', '저희', '런드리', '공용', '고민', '향', '세탁', '세제', '유연제', '추천'","'저흰 돌쯤부터 같이빨았어요 그냥 어른세제로요 피부가 민감했던 애가 아니라괜찮았던거같아요', '헉 진짜요? 왠지 남편 속옷과 애기거 같이 돌리기가 영 찜찜해서 여태 따로 했는데...', '삭제된 댓글입니다.', '아.. 같이 하시는군요.... 어른 세제 그냥 쓰시는 거죠?', '삭제된 댓글입니다.', '많이들 같이 빠시네요. 전 여태 꼭 따로 빨았는데 ㅎㅎㅎㅎ', '삭제된 댓글입니다.', '아..저만 이런 거 예민했나봐요;;;', '저도 두아이..돌지나고 어른빨래랑 같이돌려요.지금 둘째 25개월인데..퍼실쓴지 일년넘었어요', '코슷코 가서 퍼실을 찾았는데 없네요.. 저도 한국선 어른 빨래 무조건 퍼실 썼거든요 ㅠ', '저는 옷은 같이돌리구요 어른속옷 따로 양말따로 흰 깔옷 따로 수건따로요', '헉 엄청 세분하셨네요 속옷과 양말은 그렇게 양이 많이 나오진 않는데 모았다 돌리시는 거에요?', '아기세탁기로요ㅎ', '저희도 같이돌려요. 남편은 속옷 직접빨아서 속옷같이돌일일은없구 남편 작업복만따로돌리고. 그냥 다른건 함께돌려요', '색깔 구분도 안하시는 건가요? 같이 돌렸다가 수건이 좀 까맣게 되는 거 같아서 검은색은 구분할까 하고 있네요', '그런건 하죠ㅎ 저희집은 수건은 무조건 따로. 잠깐입는외출복이라 제꺼랑 애기꺼는같이돌리고 검은색...옷이 별로없네요ㅎ', '아하~~ 수건 따로 옷 따로 하시는 거구나.. 저도 그렇게 하고싶은데 검은 옷이 은근 많더라구요 저랑 남편은 ㅎㅎㅎ 암튼 지혜롭게 두번만 돌리게 나눠봐야겠어요 감사해요', '백일지나서 다같이돌려요 아이 더 건강합니다', '같이 돌리든 따로 돌리든 피부가 아주 예민하지 않고서는 별 이상은 없겠죠', '아무이상없어요 아이넘깨끗하게키우면 면연력이약해져서 아토피같은거생긴다고 의사샘이말하더군요', '5개월 셋째도 같이빨아요;;;;;제가 넘 무딘거같긴해요ㅋㅋㅋㅋ어른세제도 조금 순한걸로 바꿔서 같이 빨면 되지 않을까요 ㅋ', '일단 모두가 같이 쓴다는 세제로 바꿔오긴 했는데 그래도 뭔가 같이 돌리기는 꺼려지고... 색을 구분해서 돌려야하나..아님 애기거 어른 걸 구분해야 하나 고민중이네요', '전 아기가 세살반인데, 지금도 따로 세탁해요~ㅋ', '저도 여태 따로 했는데 같이 하신다는 분들이 이렇게 많으시네요;;;', '저는 3세반 수건하고 아기꺼 같이 돌리고 어른세제 ^^;;같이 빨아도 될듯해요.', '아하 수건하고 아기것만 같이 돌리는 게 나을까요? 뭔가 두번으로 나눠 돌리고 싶은데 색깔도 나눠야 할 거 같고 애기 것도 나눠야 할 거 같고 그렇네요 퓨', '저희집 애기4살인데 여태 따로 빨았어요^^;댓글보고선 저도 이제 같이 빨까봐요 ㅎ', '그쵸 이렇게 다들 같이 돌리고 계셨나봐요.', '저희는 두살인데 따로빨아요~ 어른빨래는 옷이랑 속옷 수건은 따로 빨고 있어요~ 저희도 댓글보고 이제 같이 빨까봐요...ㅋㅋ', '저도 웬만함 따로 빨까 싶은데 세탁비도 만만치 않을 거 같기도 하고 해서 ㅎㅎㅎ', '그러게 말이예요 일주일 내내 끊임없이 빨래하는거 같아요 ㅜ 지난번에 세탁기 고장나서 열흘 이주 정도 빨래방가서 하고 그랬는데 물값이 확 줄더라고요 ㅜㅜ', '어떻게하면 지혜로운 건가.. 고민중이에요 저도 ㅠㅠ 함께 고민해 보아요 ㅎㅎㅎ 저는 수건과 속옷 양말을 빨고 옷을 빨지 아님 검은색과 나머지로 할지 고민이네요', '저는 수건 속옷빨고 수건많으면 수건만 따로해요 흰옷 검정옷 따로 빨고 있어요~ 애기 옷을 어디에 넣기도 참 ...ㅋㅋ', '신생아때부터 쭉 같이 해요 올 화이트로', '어머.. 신생아부터요???;;; 전 왠지 어른거랑 같이 하기가 그랬는데 ㅎㅎ', '세탁건조기 들어갔다 나오면 깨끗해져 나오는데요~ 스팀도 되고요', '4살이면 같이해도 되지 싶은데요?', '그런가요? 아직 애기 같은데 또 어떻게 보면 많이 큰 것도 같도 해서 고민이었어요', '3살 여아 1살여아 키우고있는데 저는 따로 빨아요 ㅎㅎ', '아직 아이들이 어리니 고민 없으시겠어요^^', '저는5살3살아들꺼 아직도 따로빨아요^^', '저도 여태 따로 했는데 댓글은.. 따로 하는 게 잘못같은 느낌이 들 정도에요 ㅎㅎ', '저는 아가들이 어차피 안겨서 엄마아빠 옷에 부비니까 아기세제로 다 같이 빨았어요', '어머 대단하세요 아가세제로 어른 빨래까지 하셨다는 거죠? 저는 이제 온가족 쓰는 세제로 애기 옷이랑 같이 빨아보려구요^^', '저도 세살반 여태 따로 빨았는데 같이 빨아도 되는건가보네요 ㅎ  전 둘째 태어나면 둘째 첫째 옷 같이 빨려고요 아님 첫째 옷을 부모거랑 같이 빨든지 ㅎㅎ', '신생아는 아무래도 같이 빨기는 그렇죠 ㅎㅎ 저는 아직도 고민중이랍니다 두개로만 나눠 빨고파서요 ㅎㅎㅎㅎ'",네이버 카페,https://cafe.naver.com/ArticleRead.nhn?clubid=10094499&page=2&inCafeSearch=true&searchBy=0&query=%C6%DB%BD%C7+%C7%E2&includeAll=&exclude=&include=&exact=&searchdate=2014-02-182019-08-17&media=0&sortBy=date&articleid=40532753&referrerAllArticles=true
9,퍼실 향,2018.06.27. 23:56,향 좋은 세탁세제/유연제 추천좀 해주세요!:))),세제는 퍼실 초록색쓰는데.. 바꿀려구요 ㅠㅠ오래가고 향 좋은것좀 추천해주세요 ㅠㅠㅠㅠ,"'세제', '퍼실', '초록색', '구', '향', '것좀', '추천'","'세제는 이번에 피지를쓰니 좋고 유연제는 늘 피죤써요~', '피지 어떤거용?', '블랑101 이요. 아기랑 같이 사용해도되서 좋아요', 'ㅎ ㅎ유연제는 뭐쓰세요?', '세제랑 유연제가 다 있어요.무향도 있고 향기 맡아보고 구매하셔도 좋아요', '아~ 마트에 잇나용 블랑?', '블랑 101 시그니쳐, 진짜 진해요.', '우연제는 뭐쓰세요?', '유연제도 블랑 101 요. 근데 전 몽디에스 쓰다 블랑 쓰니 너무 진하더라구요.', '아 그래요?! ㅠㅠ 맡아봐야겟네요', '베비언스요`', '감사해요 ㅎㅎ', '유연제 스너글 보라색이요!! 완전 포근한 향♡♡♡♡♡♡♡♡', '감사해요!', '섬유유연제 피존만 쓰다가 다우니로 바꿨는데 정말 차원이 다르더라구요'",네이버 카페,https://cafe.naver.com/ArticleRead.nhn?clubid=10094499&page=2&inCafeSearch=true&searchBy=0&query=%C6%DB%BD%C7+%C7%E2&includeAll=&exclude=&include=&exact=&searchdate=2014-02-182019-08-17&media=0&sortBy=date&articleid=40283886&referrerAllArticles=true
