,Keyword,Date,Title,Contents,Words,Comments,Source
0,퍼실,2019.07.23. 20:04,세탁세제 뭐쓰세요??,"
25주 임산부에요 천연세탁세제를 쓰는데 세척도 잘 안되구 물비린내나구 영 찝찝해서 퍼실을 샀는데 세척은 잘되고 좋은데성분이 괜찮은가요???? 성분이 안좋은거같아서요...ㅠㅠㅠㅠ 섬유유연제는 버넬쓰는데 ..요것도 괜찮을까여 ..애기낳으믄 애기껀 따로 빨거긴한데 엄마랑 계속 붙어있는데 엄마옷도 천연으로 같이 빨아야하나요??임산부님들 세제같은거 천연으로 쓰시나요 ? 아님 일반 퍼실같은거 쓰세용???
","'주', '임산부', '세탁', '세제', '세척', '물', '영', '퍼실', '세척', '성분', '성분', '거', '섬유', '유연제', '버넬', '요것', '여', '애기', '애기', '껀', '엄마', '계속', '엄마', '옷', '천연', '임산부', '세제', '천연', '일반', '퍼실'","'퍼실 드럼용으로 잘쓰고 있어요 헹굼은 여러번 하구요', '아 ~~그냥 기본 헹굼2회햇는데 더 마니해여겟어요!! 감사합니다??'",네이버 카페
1,퍼실,2019.07.23. 13:15,아기세제 꼭 써야하나요?,"
아기옷 빨래 하려고 하는데새옷도 있고 물려 받은옷도 있어서 세탁하려고 하는데집에 퍼실세제 쓰고 있는데 아가들 옷은아기세탁세제로 빨아야 하나요? 아님 일반퍼실로 그냥 빨아야 하는지세제없이 빨아야 하는지하나도 모르는 초산맘입니다알려주세요ㅠ
","'아기', '옷', '빨래', '옷', '옷', '세탁', '집', '퍼', '실세', '제', '아가', '옷', '아기', '세탁', '제로', '하나요', '일반', '퍼', '실로', '그냥', '세제', '초산', '맘'","'넵 아가용사서 하셔야해요', '아 답변 감사합니다! 혹시 어디제품 사용하세요?', '언드레드  써요 ( ^^);; 계면활성제가 없는데 잘 지워지더라구요', '아기 피부가 약하니까 아기꺼는 성분 좋은 걸로 따져서 따로 써요 ^^', '답변 감사해요^^ 혹시 사용하시는 제품 추천해주실수 있으신가요?^^', '아기 피부가 생각보다 많이 여리더라구요ㅠㅠ', '초보엄마라 공부를 많이 해야겠네요!', '삭제된 댓글입니다.', '오! 토루토루도 알아볼께요~^^ 답변 넘 감사해요!^^', '아기떈 사용하시는게 좋겠죠?어른껀 아무래도 독한 성분이 있어서요', '네^^ 그래야겠어요. 몰랐는데 배워가네요~^^ 답변 감사해요!', '아가제품 사용하시는게 좋아요!!  아이너바움 아기세탁세제 사용하시는거 추천드리고 싶은데 확실히 순해서 아기피부에 자극적이지 않더라구요.', '오오~아이누바움도 찾아봐야겠네요^^ 답변 감사해요!!*^^*', '아기가 옷도 자주 빨고 피부에 닿는 거라 웬만하면 아기세제 쓰시는 게 좋아요. 윗분처럼 저도 아이너바움 써요. 성분도 좋지만 대용량이라 가성비갑이에요. 애들 세탁 자주하거든요.', '답변 감사해요^^', '건담님', '힘나네님? 왜용?'",네이버 카페
2,퍼실,2019.07.23. 11:23,출산용품 준비리스트도와주세요ㅠㅠ,"
안녕하세요~34주 아들맘이에용^^지금까지 열심히 준비는 했는데 더 어떤게 필요한가해서 지금까지 준비한 것들을 적어보려고해요꼭 필요한것 또는 더 구매해야하는것들 알려주시면 감사해요ㅠㅠ8월말 출산인데 아가가 또 역아라 제왕할수도있어요ㅠㅠ수딩젤(퓨토)파우터크림(퓨토)헤어&바디워시(누들앤부)아기로션(누들앤부)아기 목욕타월2장아기 세탁세제 (퍼실)기저귀정리함기저귀쓰레기통손톱가위정리세트가제손수건20장신생아면봉젖병세정제젖병(더블하트)240ml6개 젖병꼭지(더블하트) 4개 젖병세척솔(더블하트)아기욕조(레이퀸)스와들업1개 스와들미1개 침대인견패드1개 방수패드2개 구매블랭킷2개 구매아기지퍼백바디수트2벌 구매배넷저고리1벌신생아역류방지쿠션(로토토)코끼리애착인형 구매손싸개2개아기양말6개구강티슈유아세탁비누온습도계체온계그외 선물받은것들유모차,아기침대,젖병소독기,바운서,바구니카시트 있어용물티슈는 조리원에있을때 구매예정이구요기저귀도 종류가너무많아서 조금 더 알아보다가 조리원에있을때 구매하면 늦을까용..?ㅠ맘님들 도움좀 부탁드려용  
","'주', '아들', '맘', '용', '지금', '준비', '더', '필요', '지금', '준비', '것', '고해', '꼭', '더', '구매', '출산', '아가', '또', '제왕', '수딩젤', '퓨토', '터', '크림', '퓨토', '헤어', '바디', '워시', '누', '앤부', '아기', '로션', '누', '앤부', '아기', '목욕', '타월', '장', '아기', '세탁', '세제', '퍼실', '기저귀', '정리', '함', '기저귀', '쓰레기통', '손톱', '가위', '정리', '세트', '가제', '손수건', '장', '신생아', '면봉', '젖', '병세', '정제', '젖병', '더블', '하트', '개', '젖병', '꼭지', '더블', '하트', '개', '젖병', '세척', '솔', '더블', '하트', '아기', '욕조', '레이', '퀸', '스와들업', '개', '스와들미', '개', '침대', '인견', '패드', '개', '방수', '패드', '개', '구매', '블랭킷', '개', '구매', '지퍼', '바디', '수트', '벌', '구매', '배넷', '저고리', '벌', '신생아', '역류', '방지', '쿠션', '로토', '토', '코끼리', '애착', '인형', '구매', '손', '싸개', '개', '아기양말', '개구', '강', '티슈', '유아', '세탁', '비누', '습도계', '체온계', '외', '선물', '유모차', '아기', '침대', '젖병', '소독기', '바운', '바구니', '카시트', '물티슈', '조리', '때', '예정', '이구', '기저귀', '종류', '조금', '더', '조리', '때', '구매', '용', '맘', '도움', '좀'","'음...제가 육아했을때...천기저귀나,속싸개 3~4장 있음 애기 목욕 시키고 순건대용으로 쓰기좋고 아가 응가했을때 엉덩이 수건으로도 좋아요 ^^ 손수건은 10~20장도 더 있음 좋을듯해요 은근 많이 쓰더라고요 ㅎㅎㅎ 저는 아기 신생아때 20장이면 충분하겠지했다 모셔둔 30장 마져 꺼내서 썼어요 ㅎㅎㅎㅎㅎ', '목욕타월 따로 구매했는데 천기저귀나 속싸개 또 구매해야하는거에용??', '네네~ 목욕타월은 애기가 걷을때쯤에나 유용하고 신생아때부턴 빨리 마르고 편한 천기저귀가 편해요~  빨래하기도 편하고 금방 마르거든요~^^', '아아 좋은정보네요 ㅎㅎ감사합니당^^', '배냇저고리 안 입히시나요?체온계 필요할 것 같구요저도 레이퀸 욕조 쓰는데 아마 헹굼용 욕조(대야) 하나 더 필요하실 거에요~', '아아 배냇저고리도 있어요~체온계도 준비했구요 ㅎ', '아기 모자요 ~ 더워서 잘 안 씌울것 같긴 하지만 딸꾹질할때 씌워주면 금방 멈춰요비판텐 -발진난데 좋음엄마 모유수유 하실거면 수유브라 있어야겠네요', '발진났을때 파우더크림말고 비판텐이 더 나은가요~??모자도 구매해야겠네요 ㅎ모유수유하면 수유패드도 구매해야해요??', '수유패드 있으면 좋죠 ^^파우더크림은 발진 예방 하는데 많이 쓰고요 비판텐은 아기 엉덩이나 엄마 유두 균열에도 바른대요 ^^'",네이버 카페
3,퍼실,2019.07.21. 20:05,드림완료)퍼실 세제 드림하시면 가져가실 분 계신가용 (중동),"
  퍼실세제 하나는 새거하나는 반쯤 쓴건데 가져가시려면 드리고쓰던거 싫으시면 하나만 가져가실분~~텀블러도 드릴게용 위치는 중동 위브에요!!!               ★ 잠깐! 게시글 작성 전, 필독 공지! ★- 카페규정 : http://cafe.naver.com/imsanbu/28123090 - 게시판별 운영 정책 : http://cafe.naver.com/imsanbu/35756864
","'퍼', '실세', '제', '하나', '쯤', '하나', '분', '텀블러', '드릴', '용', '위치', '중동', '위브', '잠깐', '게시', '글', '작성', '전', '필독', '공지', '카페', '규정', '게시', '판별', '운영', '정책'","'저요!', '언제 가능하신지 쪽지주세용!!!', '30분까지 연락 없으시면 밑에 분 드릴게욥 ㅠㅠ!!', '저지금가도 될까용', '윗분 30분까지 연락없으시면 연락드리겠습니다!', '불발시신청합니다', '저 줄서요~~~'",네이버 카페
4,퍼실,2019.07.21. 16:41,세탁세제 추천좀해주세요 (퍼실빼고),"
퍼실은 거품이 너무많고 잘안빠지는듯해서 쓰다가 말았거든요 헹굼도 많이하게되고...그후로 투명한생각썼는데 항상 깨끗히 세탁된다고는 못느꼈어요 근데 오늘 신랑 옷 카라가 안깨끗해서 과탄산소다에 담궈놓을려고 옷을 물에 담그자마자 시커먼물 때물이 나오는거에요 이옷 워낙오래입은옷이고 물빠지는옷도아니구요...글구 색도 물빠진색이 아니더라구요 너무놀라 세탁했던거 싹 다 과타산에 다시담궜네요...어짜피 얼마 안남아서 새로 사려고했던차에 바꿔야겠다 싶네요 뭐쓰세요?추천좀해주세요
","'퍼실', '거품', '헹굼', '고', '후', '생각', '항상', '세탁', '오늘', '신랑', '옷', '카라', '과', '산소', '옷', '물', '물', '때', '물이', '옷', '워낙', '옷', '물', '옷', '글구', '색도', '물', '색', '세탁', '싹', '과', '타산', '다시', '얼마', '사려', '차', '뭐', '추천', '좀'",,네이버 카페
5,퍼실,2019.07.18. 09:08,퍼실 핫딜인가요? ,"
?중복쿠폰가격가에 저정도면 가격 괜찮은가요????????????????★ 잠깐! 게시글?작성 전, 필독 공지! ★- 카페규정 : http://cafe.naver.com/imsanbu/28123090?- 게시판별 운영 정책 : http://cafe.naver.com/imsanbu/35756864???????????????????★ 잠깐! 게시글?작성 전, 필독 공지! ★- 카페규정 : http://cafe.naver.com/imsanbu/28123090?- 게시판별 운영 정책 : http://cafe.naver.com/imsanbu/35756864????
","'정도', '가격', '잠깐', '게시', '글', '작성', '전', '필독', '공지', '카페', '규정', '게시', '판별', '운영', '정책', '잠깐', '게시', '글', '작성', '전', '필독', '공지', '카페', '규정', '게시', '판별', '운영', '정책'","'오 핫딜이면사야겠어요', '좌표부탁드려요^^ 안그래도 세제 똑 떨어져가는데 사야겠어요^^', '위메프에요!', '찾았어요^^ 감사합니다^^', '안그래도 세제 사야했는데 퍼실로 ,해야겠어요ㅎㅎ 정보 감사합니다', '좌표좀 부탁드려요~~^^'",네이버 카페
6,퍼실,2019.07.14. 00:25,퍼실 체험팩 2500원 무배,"
퍼실 65미리 3개 버넬 45미리 3개 체험팩 2500원 무배 제품입니다http://m.ssg.com/item/dealItemView.ssg?itemId=1000023820628&ckwhere=1003456&siteNo=6004&salestrNo=6005&ckwhere=mobile_ssg_url
","'퍼실', '미리', '개', '버넬', '미리', '개', '체험', '팩', '무배'","'저 샀어용ㅎㅎ 버넬이랑 캡슐 퍼실 쓰고있었는데 감사합니다!', '주문했어요 ㅋㅋㅋ', '오오오!', '  ', '짱이에요', '감사해요', '자세히보기해도 저그림만 있는더 드럼용인거죠??', '저도 주문완료요. 감사합니다 ^^', '감사합니다^^', '고맙습니다~~^^', '주문했어요! 감사합니다', '우아 감사해요~~', '감사합니다~ㅎㅎ', '품절이네요 구성 좋은 것 같은데 아쉬워용 ㅎㅎㅎ', '늦었어요ㅠㅠ', '품절 ㅠㅠ'",네이버 카페
7,퍼실,2019.07.11. 08:43,퍼실센서티브 어른아이세탁같이하시나요?,"
???이게 아이세제인건가요??그리고 향이 어떤지 궁금해요~??????????★ 잠깐! 게시글?작성 전, 필독 공지! ★- 카페규정 : http://cafe.naver.com/imsanbu/28123090?- 게시판별 운영 정책 : http://cafe.naver.com/imsanbu/35756864???
","'아이', '제인', '건가', '향', '잠깐', '게시', '글', '작성', '전', '필독', '공지', '카페', '규정', '게시', '판별', '운영', '정책'","'아이세제라고 나온건 아닌거 같고 아이옷 세탁해도 안전하게 나온거 아닌가욤ㅎㅎㅎ', '저 이거 진짜 좋아했는데 리뉴얼되어서 나왔더라구요. 아주 어린 아기만 아니라면 유아부터는 충분히 쓸수있다고 하더라구요ㅎ저도 첫째 돌부터 어른.아이 다 같이 이걸루 썼거든요. 리뉴얼되면서 향이 바뀐지는 모르겠는데 향도 진짜 좋았어요. ^ ^', '전 그냥 신생아때부터 쓰고 있는데요, 향은 거의 안 나요'",네이버 카페
8,퍼실,2019.07.06. 00:33,"헨켈 핫딜떴어요(퍼실, 홈매트,사이오스,샤우마,모기약)","
https://mw.wemakeprice.com/share/deal/601330585?t=1562288012쿠폰 할인이 큰 편이에요퍼실 쿠폰 받고 결제하면 핫딜인것 같네요ㅎㅎㅎ★ 잠깐! 게시글?작성 전, 필독 공지! ★- 카페규정 : http://cafe.naver.com/imsanbu/28123090?- 게시판별 운영 정책 : http://cafe.naver.com/imsanbu/35756864
","'쿠폰', '할인', '편이', '퍼실', '쿠폰', '결제', '핫딜인것', '잠깐', '게시', '글', '작성', '전', '필독', '공지', '카페', '규정', '게시', '판별', '운영', '정책'",'감사해요ㅋ 구매했어요ㅋ 퍼실이랑 섬유유연제 쟁였네요ㅋ',네이버 카페
9,퍼실,2019.07.03. 15:01,빨래하면 살짝 꼬린내같은게 나요 ,"
빨래하면 살짝 꼬린내같은게 나요?실내건조해서 그런걸까요?퍼실쓰고 유연제는 샤프란에서 나온거 쓰는데..★ 잠깐! 게시글?작성 전, 필독 공지! ★- 카페규정 : http://cafe.naver.com/imsanbu/28123090?- 게시판별 운영 정책 : http://cafe.naver.com/imsanbu/35756864
","'빨래', '살짝', '꼬린내같은', '실내', '걸', '퍼실쓰', '유연제', '샤프란', '잠깐', '게시', '글', '작성', '전', '필독', '공지', '카페', '규정', '게시', '판별', '운영', '정책'","'전 제 개인적 느낌상 퍼실이 꼬린내 나는듯해서 리큐로 바꾸고 다우니 유연제 쓰고부턴 냄새가 안나요. ㅎㅎ', '식초넣으세요'",네이버 카페
