,Keyword,Date,Title,Contents,Words,Comments,Source
0,퍼실,2019년 8월 17일, ,#퍼실 #딥클린#세탁소이벤트#세차수건#찌든때#퍼실딥클린 으로 깨끗하게잘빨림#히징새댁 #강력추천 #깨끗한빨래#상쾌함!!,"'세탁소', '이벤트', '세차', '수건', '때', '퍼실딥', '클린', '빨림', '징', '새댁'", ,instagram
1,퍼실,2019년 8월 17일, ,요거트 먹은 우리 아들 가제손수건으로 입 닦아주고 닦은 손수건 #퍼실딥클린파워젤 로 빨래해주기~♥ 앞으로 묻을 다양한 소스들이 두렵지않아요!!!ㅎㅎ #퍼실 #액체세제 #세탁세제 #퍼실딥클린 #퍼실딥클린파워젤,"'요거트', '우리', '아들', '가제', '손수건', '입', '손수건', '로', '빨래', '앞', '소스'", ,instagram
2,퍼실,2019년 8월 16일, ,퍼실이벤트 당첨!!늘 세제넣는양에 많나?적나?를 고민하는나에게 퍼실캡슐세제는 늘 고마운 존재였어요^^ 퍼실 파워젤 샘플 체험 이벤트를하길래 응모했는데 당첨!!되었어요 섬유속 깊은곳까지 깨끗하게!퍼실 좋아요♡#퍼실 #액체세제 #세탁세제 #찌든때제거 #미세먼지제거세제 #퍼실딥클린,"'퍼실', '이벤트', '당첨', '늘', '세제', '양', '적', '를', '고민', '퍼실', '캡슐', '세제', '늘', '존재', '퍼실', '파워', '젤', '샘플', '체험', '이벤트', '응모', '당첨', '섬', '유속', '곳', '퍼실'", ,instagram
3,퍼실,2019년 8월 16일, ,#퍼실 같다고 했지만 행복 온갖 걱정 다 씻어내주라#퇴근스타그램 #직장인스타그램 #러쉬 #rush #guardianoftheforest #러쉬배스밤 #배스밤 #홈스파,"'행복', '온갖', '걱정', '퇴근', '스타', '그램'", ,instagram
4,퍼실,2019년 8월 16일, ,싱그러움 가득한 그린 컬러 참 이쁘네요.더욱 업그레이드 된 퍼실 딥 클린으로 얼룩제거와 미세먼지 걱정은 이제 그만~~ 세탁후에도 산뜻한 향기가 옷장속에도 가득해 옷장 열때마다 기분 좋아지네요.여름철 이불 속 땀냄새 또한 퍼실 딥 클린으로 한번에 해결해요.#퍼실 #액체세제 #세탁세제 #찌든때제거 #미세먼지제거세제 #퍼실딥클린,"'움', '그린', '컬러', '더욱', '업그레이드', '퍼실', '딥', '클린', '얼룩', '제거', '미세먼지', '걱정', '이제', '세탁', '후', '향기', '옷장', '속', '옷장', '때', '기분', '여름철', '이불', '속', '땀', '냄새', '또한', '퍼실', '딥', '클린', '한번', '해결'", ,instagram
5,퍼실,2019년 8월 16일, ,퍼실딥클린~♡향이 너무 좋고 찌든때가 너무 깨끗하게빠지니 속이 다 시원해요!! 최고 ~#퍼실 #액체세제 #세탁세제 #찌든때제거 #미세먼지제거세제 #퍼실딥클린,"'퍼실딥', '클린', '향', '때', '최고'", ,instagram
6,퍼실,2019년 8월 16일, ,이불 빨래도 퍼실딥클린 액체세제로 빨아요. #퍼실 #액체세제 #세탁세제 #찌든때제거 #미세먼지제거세제 #퍼실딥클린,"'이불', '빨래', '퍼실딥', '클린', '액체', '제로'", ,instagram
7,퍼실,2019년 8월 16일, ,섬유 속 깊은 곳 까지 깨끗하게 역시 퍼실이네요.#퍼실 #액체세제 #세탁세제 #찌든때제거 #미세먼지제거세제 #퍼실딥클린,"'섬유', '속', '곳', '역시', '퍼실', '요'", ,instagram
8,퍼실,2019년 8월 16일, ,#퍼실 #액체세제 #세탁세제 #찌든때제거 #미세먼지제거세제 #퍼실딥클린 섬유속 깊은곳까지 깨끗하게!💕향도좋고 찌든때와 미세먼지까지 제거되서 좋아요! 빨래후에도 향이 은은해서 항상 퍼실만 써요,"'섬', '유속', '곳', '향', '때', '미세먼지', '제거', '빨래', '후', '향', '항상', '퍼실'", ,instagram
9,퍼실,2019년 8월 15일, ,퍼실 딥클린 세제로 옷 세탁해 섬유 속 미세먼지까지 안녕!!!#퍼실 #액체세제 #세탁세제 #찌든때제거 #미세먼지제거세제 #퍼실딥클린,"'퍼실', '딥', '클린', '세제', '옷', '세탁', '섬유', '속', '미세먼지', '안녕'", ,instagram
